קומות במבנה,"מחיר למ""ר",שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
16,"19,355 ₪",1970,30/03/2025,אורן 29,11192-316-7,דירה בבית קומות,3,שלישית,62.25,"1,200,000 ₪"
5,"39,716 ₪",1960,30/03/2025,בועז 7,10760-66-13,דירה בבית קומות,5,קומה 5,141,"5,600,000 ₪"
4,"18,966 ₪",1960,28/03/2025,יאיר שטרן 13,10802-159-33,דירה בבית קומות,5,קרקע,116,"2,200,000 ₪"
3,"31,209 ₪",2015,28/03/2025,חביבה 62,11196-14-2,דירה בבית קומות,3,קרקע,45.5,"1,420,000 ₪"
5,"17,010 ₪",1960,27/03/2025,מרסיי 9,10745-158-33,דירה בבית קומות,4,קרקע,97,"1,650,000 ₪"
4,"22,500 ₪",1970,27/03/2025,"אצ""ל 17",10749-54-19,דירה בבית קומות,3,ראשונה,60.9,"1,350,000 ₪"
3,"38,323 ₪",1970,27/03/2025,שלמה המלך 55,10750-41-3,דירה בבית קומות,2,ראשונה,31.5,"1,188,000 ₪"
3,"18,834 ₪",2001,27/03/2025,ציפר 27,11584-11-3,דירה בבית קומות,4,ראשונה,80.97,"1,525,000 ₪"
3,"14,397 ₪",1960,27/03/2025,יד לבנים 37,12482-19-9,דירה בבית קומות,2,ראשונה,44.8,"645,000 ₪"
4,"23,962 ₪",1960,27/03/2025,אנילביץ מרדכי 16,10930-13-19,דירה בבית קומות,3,שלישית,53.1,"1,270,000 ₪"
2,"23,056 ₪",1960,27/03/2025,איתנים 6,10759-51-9,דירה בבית קומות,5,חמישית,108,"2,490,000 ₪"
0,"21,885 ₪",0,27/03/2025,ללא כתובת,10925-209-3,דירה בבית קומות,3,שלישית,61,"1,335,000 ₪"
4,"19,521 ₪",1970,27/03/2025,ז'ורס 31,10906-280-9,דירה בבית קומות,3,ראשונה,73.5,"1,425,000 ₪"
0,"16,094 ₪",0,27/03/2025,ללא כתובת,10861-235-10,דירה בבית קומות,3,שניה,63.5,"1,022,000 ₪"
0,"14,167 ₪",0,27/03/2025,ללא כתובת,11359-81-145,דירה בבית קומות,3,ראשונה,84,"1,190,000 ₪"
0,"24,046 ₪",0,26/03/2025,ללא כתובת,10861-309-11,דירה בבית קומות,1.5,ראשונה,26.2,"630,000 ₪"
