שנה,חודש,מדד דיור
2022,3,517
2022,4,525.3
2022,5,536.3
2022,6,543.8
2022,7,553.6
2022,8,559.7
2022,9,565.3
2022,10,567
2022,11,567.6
2022,12,568.7
2023,1,568.7
2023,2,568.7
2023,3,567.6
2023,4,564.8
2023,5,561.4
2023,6,560.3
2023,7,559.2
2023,8,558.6
2023,9,557.5
2023,10,554.7
2023,11,558
2023,12,563
2024,1,569.2
2024,2,574.9
2024,3,579.5
2024,4,583.6
2024,5,587.1
2024,6,591.8
2024,7,593
2024,8,592.4
2024,9,593.6
2024,10,596.6
2024,11,599
2024,12,606.2
2025,1,610.4
2025,2,609.8
2025,3,609.2
