קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
2,1970,04/01/2017,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"910,000 ₪"
2,1970,10/06/2014,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"434,000 ₪"
2,1970,21/03/2011,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"395,000 ₪"
2,1970,09/04/2008,יד לבנים 10,12485-7-9,דירה בבית קומות,3,שניה,61.5,"157,000 ₪"
8,1999,25/11/2024,דוד רזיאל 57,12483-2-15,דירה בבית קומות,3,רביעית,42.35,"860,000 ₪"
8,1999,11/12/2022,דוד רזיאל 57,12483-2-15,דירה בבית קומות,3,רביעית,42.35,"650,000 ₪"
0,0,20/11/2024,ללא כתובת,12494-5-11,דירה בבית קומות,4,"קומה 5, קומה 6",111.85,"1,670,000 ₪"
2,1980,15/11/2024,דוד רזיאל 25,12486-19-7,דירה בבית קומות,2,לא ידוע,40,"820,000 ₪"
6,1970,05/11/2024,פאר 49,11720-11-13,דירה בבית קומות,2,שלישית,47.75,"188,000 ₪"
3,1970,04/11/2024,פאר 10,12494-22-5,דירה בבית קומות,2,שניה,41.35,"950,000 ₪"
3,1970,16/06/2020,פאר 10,12494-22-5,דירה בבית קומות,2,שניה,41.35,"535,000 ₪"
4,1960,28/10/2024,פאר 56,11720-29-13,דירה בבית קומות,3,רביעית,47.8,"875,000 ₪"
4,1960,07/06/2021,פאר 56,11720-29-13,דירה בבית קומות,3,רביעית,47.8,"620,000 ₪"
4,1970,15/10/2024,פאר 65,11720-24-4,דירה בבית קומות,1,שניה,48.5,"830,000 ₪"
4,1970,09/11/2016,פאר 65,11720-24-4,דירה בבית קומות,1,שניה,48.5,"620,000 ₪"
6,1970,09/10/2024,פאר 49,11720-11-21,דירה בבית קומות,2,קומה 3,47.75,"1,045,000 ₪"
6,1970,22/08/2022,פאר 49,11720-11-21,דירה בבית קומות,2,קומה 3,47.75,"1,050,000 ₪"
6,1970,29/11/2021,פאר 49,11720-11-21,דירה בבית קומות,2,קומה 3,47.75,"565,000 ₪"
2,1960,06/10/2024,דוד רזיאל 49,12484-11-1,דירה בבית קומות,3.5,קרקע,60.9,"840,000 ₪"
2,1960,17/06/2014,דוד רזיאל 49,12484-11-1,דירה בבית קומות,3.5,קרקע,60.9,"490,000 ₪"
3,1960,30/09/2024,הגיבורים 52,12485-6-1,דירה בבית קומות,2,קרקע,62,"710,000 ₪"
3,1960,10/01/1999,הגיבורים 52,12485-6-1,דירה בבית קומות,2,קרקע,62,"369,000 ₪"
4,1960,29/09/2024,פאר 3,12486-22-1,דירה בבית קומות,3,ראשונה,77.8,"750,000 ₪"
2,1960,29/09/2024,דוד רזיאל 60,12483-14-10,דירה בבית קומות,3,שניה,56.88,"800,000 ₪"
2,1950,25/09/2024,הירדן 30,12486-2-7,דירה בבית קומות,4,ראשונה,84.3,"1,070,000 ₪"
2,1950,09/01/2023,הירדן 30,12486-2-7,דירה בבית קומות,4,ראשונה,84.3,"860,000 ₪"
2,1950,13/08/2019,הירדן 30,12486-2-7,דירה בבית קומות,4,ראשונה,84.3,"640,000 ₪"
2,1950,06/04/2017,הירדן 30,12486-2-7,דירה בבית קומות,4,ראשונה,84.3,"500,000 ₪"
2,1950,06/12/2011,הירדן 30,12486-2-7,דירה בבית קומות,4,ראשונה,84.3,"305,000 ₪"
3,1950,19/09/2024,הירדן 39,12485-18-1,מחסנים,לא ידוע,מרתף,25.3,"200,000 ₪"
8,1970,15/09/2024,יד לבנים 176,12496-12-48,דירה בבית קומות,3,שביעית,78.65,"1,150,000 ₪"
4,1970,13/09/2024,פאר 65,11720-24-3,דירה בבית קומות,2,שניה,48.5,"850,000 ₪"
4,1970,10/10/2015,פאר 65,11720-24-3,דירה בבית קומות,2,שניה,48.5,"255,000 ₪"
4,1970,04/02/2009,פאר 65,11720-24-3,דירה בבית קומות,2,שניה,48.5,"175,000 ₪"
3,1960,12/09/2024,פאר 50,11720-32-1,דירה בבית קומות,2,קרקע,44.83,"810,000 ₪"
3,1960,מחיר,פאר 50,11720-32-1,דירה בבית קומות,2,קרקע,44.83,1
3,1960,50%,פאר 50,11720-32-1,דירה בבית קומות,2,קרקע,44.83,"405,000 ₪"
3,1960,2,פאר 50,11720-32-1,דירה בבית קומות,2,קרקע,44.83,50%
3,1960,"405,000 ₪",פאר 50,11720-32-1,דירה בבית קומות,2,קרקע,44.83,
6,1970,11/09/2024,דוד רזיאל 38,12484-18-8,דירה בבית קומות,4,רביעית,90.4,"1,045,000 ₪"
2,1970,10/09/2024,דוד רזיאל 45,12484-16-4,דירה בבית קומות,3,ראשונה,55.6,"750,000 ₪"
2,1970,10/10/2013,דוד רזיאל 45,12484-16-4,דירה בבית קומות,3,ראשונה,55.6,"560,000 ₪"
3,1960,08/09/2024,רזיאל דוד 43,12486-13-8,דירה בבית קומות,2,שלישית,45.36,"862,000 ₪"
3,1960,19/06/2022,רזיאל דוד 43,12486-13-8,דירה בבית קומות,2,שלישית,45.36,"715,000 ₪"
3,1960,24/10/2018,רזיאל דוד 43,12486-13-8,דירה בבית קומות,2,שלישית,45.36,"565,000 ₪"
3,1960,15/11/2015,רזיאל דוד 43,12486-13-8,דירה בבית קומות,2,שלישית,45.36,"445,000 ₪"
3,1960,08/11/2015,רזיאל דוד 43,12486-13-8,דירה בבית קומות,2,שלישית,45.36,"520,000 ₪"
2,1950,02/09/2024,הירדן 41,12485-21-1,דירה בבית קומות,2,מרתף,38.72,"550,000 ₪"
3,1970,29/08/2024,פאר 29,12483-24-4,דירה בבית קומות,3,ראשונה,68.16,"250,000 ₪"
3,1970,24/04/2012,פאר 29,12483-24-4,דירה בבית קומות,3,ראשונה,68.16,"411,000 ₪"
3,2023,28/08/2024,יד לבנים 30,12484-4-21,דירה בבית קומות,4,שישית,94,"1,475,000 ₪"
8,1999,28/08/2024,דוד רזיאל 57,12483-2-2,דירה בבית קומות,2,שניה,23.2,"670,000 ₪"
8,1999,29/11/2022,דוד רזיאל 57,12483-2-2,דירה בבית קומות,2,שניה,23.2,"560,000 ₪"
4,1960,28/08/2024,יד לבנים 140,11720-40-6,דירה בבית קומות,2.5,שניה,63.5,"1,000,000 ₪"
2,1950,27/08/2024,דוד רזיאל 56,12483-15-3,דירה בבית קומות,2,קרקע,56.88,"840,000 ₪"
4,1960,18/08/2024,רזיאל דוד 64,11720-8-7,דירה בבית קומות,2,שניה,44.83,"800,000 ₪"
4,1960,05/07/2019,רזיאל דוד 64,11720-8-7,דירה בבית קומות,2,שניה,44.83,"582,000 ₪"
2,1980,15/08/2024,יוסף וינר 24,12494-3-5,דירה בבית קומות,3,שניה,75,"830,000 ₪"
5,1960,14/08/2024,יד לבנים 142,11720-39-21,דירה בבית קומות,2,שלישית,50,"920,000 ₪"
5,1960,03/05/2019,יד לבנים 142,11720-39-21,דירה בבית קומות,2,שלישית,50,"660,000 ₪"
2,1940,14/08/2024,פאר 38,12497-7-8,דירה בבית קומות,2,קרקע וקומה א',47.82,"400,000 ₪"
9,2014,14/08/2024,יד לבנים 174,12496-13-29,דירה בבית קומות,4,שביעית,89,"1,477,000 ₪"
8,1999,11/08/2024,דוד רזיאל 57,12483-2-9,דירה בבית קומות,3,שלישית,42.2,"752,000 ₪"
8,1999,05/12/2022,דוד רזיאל 57,12483-2-9,דירה בבית קומות,3,שלישית,42.2,"650,000 ₪"
4,1960,11/08/2024,רזיאל דוד 28,12486-23-3,דירה בבית קומות,3,ראשונה,41.5,"950,000 ₪"
4,1960,16/08/2019,רזיאל דוד 28,12486-23-3,דירה בבית קומות,3,ראשונה,41.5,"505,000 ₪"
4,1960,29/12/2016,רזיאל דוד 28,12486-23-3,דירה בבית קומות,3,ראשונה,41.5,"379,000 ₪"
4,1960,28/01/2016,רזיאל דוד 28,12486-23-3,דירה בבית קומות,3,ראשונה,41.5,"500,000 ₪"
9,1970,08/08/2024,יד לבנים 178,12496-10-40,דירה בבית קומות,3,חמישית,70.46,"1,220,000 ₪"
9,1970,01/08/2024,יד לבנים 178,12496-10-28,דירה בבית קומות,3,שניה,76,"850,000 ₪"
1,1960,31/07/2024,דוד רזיאל 65,12483-10-2,דירה בבית קומות,3,קרקע,55,"920,000 ₪"
1,1960,07/11/2021,דוד רזיאל 65,12483-10-2,דירה בבית קומות,3,קרקע,55,"720,000 ₪"
3,2023,30/07/2024,יד לבנים 30,12484-4-20,דירה בבית קומות,4,חמישית,94,"1,500,000 ₪"
2,1960,10/07/2024,פאר 71,11720-48-6,דירה בבית קומות,3,ראשונה,53.6,"900,000 ₪"
2,1960,22/11/2022,פאר 71,11720-48-6,דירה בבית קומות,3,ראשונה,53.6,"800,000 ₪"
4,1995,09/07/2024,דוד רזיאל 48,12483-19-3,דירה בבית קומות,2,ראשונה,41.65,"850,000 ₪"
8,1970,08/07/2024,יד לבנים 176,12496-12-33,דירה בבית קומות,3,רביעית,65.3,"1,040,000 ₪"
0,1960,04/07/2024,פאר 62,11720-27-1,דירה בבית קומות,3,שניה,69,"1,000,000 ₪"
3,2023,03/07/2024,יד לבנים 30,12484-4-19,דירה בבית קומות,4,רביעית,108,"1,310,000 ₪"
3,1960,02/07/2024,הירדן 48,12484-14-2,דירה בבית קומות,3.5,ראשונה,58,"1,150,000 ₪"
3,1960,24/07/2019,הירדן 48,12484-14-2,דירה בבית קומות,3.5,ראשונה,58,"650,000 ₪"
8,1970,02/07/2024,יד לבנים 176,12496-12-40,דירה בבית קומות,3,שישית,63.4,"940,000 ₪"
8,1970,26/08/2013,יד לבנים 176,12496-12-40,דירה בבית קומות,3,שישית,63.4,"350,000 ₪"
8,1999,30/06/2024,דוד רזיאל 57,12483-2-20,דירה בבית קומות,3,חמישית,42.35,"830,000 ₪"
8,1999,29/11/2022,דוד רזיאל 57,12483-2-20,דירה בבית קומות,3,חמישית,42.35,"650,000 ₪"
3,2023,27/06/2024,יד לבנים 30,12484-4-18,דירה בבית קומות,4,שישית,78,"1,235,000 ₪"
8,1970,26/06/2024,יוסף וינר 17,12494-21-5,דירה בבית קומות,3.5,שניה,76.15,"930,000 ₪"
8,1970,27/04/2017,יוסף וינר 17,12494-21-5,דירה בבית קומות,3.5,שניה,76.15,"700,000 ₪"
5,1960,25/06/2024,יד לבנים 144,11720-39-57,דירה בבית קומות,2,חמישית,50,"980,000 ₪"
5,1960,09/06/2017,יד לבנים 144,11720-39-57,דירה בבית קומות,2,חמישית,50,"749,000 ₪"
5,1960,02/03/2017,יד לבנים 144,11720-39-57,דירה בבית קומות,2,חמישית,50,"588,000 ₪"
5,1960,08/06/2014,יד לבנים 144,11720-39-57,דירה בבית קומות,2,חמישית,50,"508,000 ₪"
5,1960,04/12/2013,יד לבנים 144,11720-39-57,דירה בבית קומות,2,חמישית,50,"410,000 ₪"
5,1960,25/02/2013,יד לבנים 144,11720-39-57,דירה בבית קומות,2,חמישית,50,"410,000 ₪"
3,1960,23/06/2024,פאר 63,11720-25-4,דירה בבית קומות,3,שניה,65,"800,000 ₪"
3,1960,07/04/1998,פאר 63,11720-25-4,דירה בבית קומות,3,שניה,65,"433,000 ₪"
4,1960,13/06/2024,פאר 28,12497-3-5,דירה בבית קומות,3,ראשונה,70,"1,100,000 ₪"
4,1960,10/06/2009,פאר 28,12497-3-5,דירה בבית קומות,3,ראשונה,70,"420,000 ₪"
5,1960,10/06/2024,יד לבנים 126,11720-59-3,דירה בבית קומות,3,שניה,62.25,"1,150,000 ₪"
5,1960,12/12/2012,יד לבנים 126,11720-59-3,דירה בבית קומות,3,שניה,62.25,"670,000 ₪"
4,2000,08/06/2024,הירדן 45,12484-1-7,דירה בבית קומות,2,שניה,32.3,"750,000 ₪"
4,2000,07/02/2022,הירדן 45,12484-1-7,דירה בבית קומות,2,שניה,32.3,"686,000 ₪"
4,2000,22/06/2015,הירדן 45,12484-1-7,דירה בבית קומות,2,שניה,32.3,"400,000 ₪"
4,1960,05/06/2024,פאר 56,11720-29-14,דירה בבית קומות,3,רביעית,47.8,"800,000 ₪"
4,1960,03/01/2019,פאר 56,11720-29-14,דירה בבית קומות,3,רביעית,47.8,"525,000 ₪"
4,1960,30/06/2016,פאר 56,11720-29-14,דירה בבית קומות,3,רביעית,47.8,"485,000 ₪"
3,1960,05/06/2024,פאר 11,12486-26-9,דירה בבית קומות,3,שלישית,50,"900,000 ₪"
3,1960,22/03/1998,פאר 11,12486-26-9,דירה בבית קומות,3,שלישית,50,"258,000 ₪"
8,1970,03/06/2024,יוסף וינר 15,12494-27-21,דירה בבית קומות,4,חמישית,78.65,"1,200,000 ₪"
8,1970,28/06/2010,יוסף וינר 15,12494-27-21,דירה בבית קומות,4,חמישית,78.65,"390,000 ₪"
3,1970,27/05/2024,פאר 4,12494-16-8,דירה בבית קומות,3,שניה,62.5,"1,190,000 ₪"
3,1970,14/06/2020,פאר 4,12494-16-8,דירה בבית קומות,3,שניה,62.5,"545,000 ₪"
3,1960,17/05/2024,הירדן 50,12484-12-6,דירה בבית קומות,2.5,שניה,57,"830,000 ₪"
3,1960,11/09/2014,הירדן 50,12484-12-6,דירה בבית קומות,2.5,שניה,57,"420,000 ₪"
3,1960,28/11/2013,הירדן 50,12484-12-6,דירה בבית קומות,2.5,שניה,57,"300,000 ₪"
3,1960,16/05/2024,יוסף וינר 10,12494-24-6,דירה בבית קומות,2,שניה,41.35,"600,000 ₪"
5,1970,05/05/2024,פאר 53,11720-15-21,דירה בבית קומות,2,שלישית,47.75,"750,000 ₪"
5,1970,17/12/2018,פאר 53,11720-15-21,דירה בבית קומות,2,שלישית,47.75,"580,000 ₪"
4,2004,24/04/2024,דוד רזיאל 54,12483-16-6,דירה בבית קומות,2,שניה,51.2,"800,000 ₪"
4,2004,06/06/2013,דוד רזיאל 54,12483-16-6,דירה בבית קומות,2,שניה,51.2,"420,000 ₪"
4,2004,25/05/2011,דוד רזיאל 54,12483-16-6,דירה בבית קומות,2,שניה,51.2,"342,000 ₪"
4,1960,21/04/2024,רזיאל דוד 64,11720-8-13,דירה בבית קומות,2.5,שלישית,44.83,"810,000 ₪"
4,1960,13/04/2022,רזיאל דוד 64,11720-8-13,דירה בבית קומות,2.5,שלישית,44.83,"650,000 ₪"
4,1960,28/07/2016,רזיאל דוד 64,11720-8-13,דירה בבית קומות,2.5,שלישית,44.83,"455,000 ₪"
5,1960,21/04/2024,יד לבנים 144,11720-39-54,דירה בבית קומות,2,רביעית,50,"890,000 ₪"
