קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,2000,11/07/2023,בת חן 4,11193-300-5,דירה בבית קומות,3,ראשונה,71,"1,550,000 ₪"
1,1999,14/06/2023,צופית 4,11193-308-6,דירה בבית קומות,4.5,מרתף קרקע וראשונה,114,"2,250,000 ₪"
2,1999,10/05/2023,בת חן 54,11193-287-6,דירה בבית קומות,4.5,ראשונה,79,"2,025,000 ₪"
3,2000,19/04/2023,בת חן 4,11193-300-6,דירה בבית קומות,4,שלישית,78,"1,830,000 ₪"
3,2001,27/03/2023,בת חן 20,11193-268-3,דירה בבית קומות,5,שלישית,124,"2,140,000 ₪"
5,2019,18/01/2023,צופית 18,11193-258-41,דירה בבית קומות,5,קומה 3,138.7,"2,650,000 ₪"
5,2019,04/09/2019,צופית 18,11193-258-41,דירה בבית קומות,5,קומה 3,138.7,"1,960,000 ₪"
4,1999,18/01/2023,בת חן 44,11193-282-1,דירה בבית קומות,4,ראשונה,90.78,"1,950,000 ₪"
4,1999,28/07/1999,בת חן 44,11193-282-1,דירה בבית קומות,4,ראשונה,90.78,"1,009,000 ₪"
5,2014,09/01/2023,בת חן 7,11193-337-34,חנות,לא ידוע,קרקע,25.9,"570,000 ₪"
5,2014,03/02/2014,בת חן 7,11193-337-34,חנות,לא ידוע,קרקע,25.9,"415,000 ₪"
2,1999,21/12/2022,בת חן 54,11193-287-4,דירה בבית קומות,5,ראשונה,120,"2,300,000 ₪"
6,2001,22/09/2022,צופית 22,11193-258-0,דירת גן,4,שניה,85,"600,000 ₪"
6,2001,21/07/2003,צופית 22,11193-258-0,דירת גן,4,שניה,85,"756,000 ₪"
6,2001,08/05/2002,צופית 22,11193-258-0,דירת גן,4,שניה,85,"595,000 ₪"
6,2001,28/12/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"762,000 ₪"
6,2001,25/12/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"647,000 ₪"
6,2001,16/12/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"1,026,000 ₪"
6,2001,22/10/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"765,000 ₪"
6,2001,05/07/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"709,000 ₪"
6,2001,15/05/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"665,000 ₪"
6,2001,04/05/2001,צופית 22,11193-258-0,דירת גן,4,שניה,85,"690,000 ₪"
4,2003,07/09/2022,בת חן 21,11193-321-2,דירה בבית קומות,4,ראשונה,85.2,"2,280,000 ₪"
3,2002,31/08/2022,צופית 10,11193-301-3,דירה בבית קומות,4,ראשונה,89.56,"1,765,000 ₪"
3,2002,16/07/2014,צופית 10,11193-301-3,דירה בבית קומות,4,ראשונה,89.56,"1,750,000 ₪"
3,2002,17/05/2009,צופית 10,11193-301-3,דירה בבית קומות,4,ראשונה,89.56,"1,040,000 ₪"
3,2002,28/03/2004,צופית 10,11193-301-3,דירה בבית קומות,4,ראשונה,89.56,"920,000 ₪"
4,2003,18/07/2022,בת חן 21,11193-321-3,דירה בבית קומות,4,שניה,95.22,"1,830,000 ₪"
4,2003,29/04/2013,בת חן 21,11193-321-3,דירה בבית קומות,4,שניה,95.22,"1,690,000 ₪"
3,2008,30/06/2022,בת חן 52,11193-286-8,דירה בבית קומות,5,רביעית וחמישית,133.76,"2,270,000 ₪"
5,2002,29/06/2022,צופית 13,11193-261-2,דירה בבית קומות,5,ראשונה,100.18,"1,675,000 ₪"
0,0,02/06/2022,דוכיפת 9,11193-343-1,קרקע למגורים,לא ידוע,לא ידוע,982,"6,951,000 ₪"
4,1999,31/05/2022,בת חן 44,11193-282-2,דירה בבית קומות,4,ראשונה,91.29,"2,000,000 ₪"
4,1999,28/06/2018,בת חן 44,11193-282-2,דירה בבית קומות,4,ראשונה,91.29,"1,676,000 ₪"
4,1999,02/12/2015,בת חן 44,11193-282-2,דירה בבית קומות,4,ראשונה,91.29,"1,800,000 ₪"
4,1999,21/04/2009,בת חן 44,11193-282-2,דירה בבית קומות,4,ראשונה,91.29,"950,000 ₪"
4,1999,06/01/1999,בת חן 44,11193-282-2,דירה בבית קומות,4,ראשונה,91.29,"983,000 ₪"
