קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
7,1960,28/06/2022,עובדיה 24,11114-2-1,דירה בבית קומות,3,קומה 1,110,"1,900,000 ₪"
7,1960,13/06/2018,עובדיה 24,11114-2-1,דירה בבית קומות,3,קומה 1,110,"1,425,000 ₪"
7,1960,28/09/2008,עובדיה 24,11114-2-1,דירה בבית קומות,3,קומה 1,110,"1,058,000 ₪"
3,1960,27/06/2022,בית אל 21,11719-18-7,דירה בבית קומות,3,ראשונה,67.5,"1,750,000 ₪"
3,1970,27/06/2022,התשבי 53,11688-16-3,דירה בבית קומות,4,ראשונה,81.8,"1,500,000 ₪"
8,2010,23/06/2022,יפה נוף 34,11686-34-18,דירה בבית קומות,4,שניה,109.75,"2,600,000 ₪"
8,2010,28/10/2020,יפה נוף 34,11686-34-18,דירה בבית קומות,4,שניה,109.75,"450,000 ₪"
8,2010,08/01/2014,יפה נוף 34,11686-34-18,דירה בבית קומות,4,שניה,109.75,"2,275,000 ₪"
1,1950,19/06/2022,הנשיא 46,11686-27-3,דירה בבית קומות,2,ראשונה,50,"1,437,000 ₪"
1,1980,16/06/2022,הנשיא 5,11685-1-2,דירת גן,4,"קרקע, ראשונה, שניה",98.74,"2,100,000 ₪"
4,1960,08/06/2022,הנשיא 65,11687-8-4,דירה בבית קומות,3,ראשונה,66.5,"2,270,000 ₪"
4,1960,25/07/2013,הנשיא 65,11687-8-4,דירה בבית קומות,3,ראשונה,66.5,"1,284,000 ₪"
4,1960,19/05/2005,הנשיא 65,11687-8-4,דירה בבית קומות,3,ראשונה,66.5,"835,000 ₪"
4,1960,22/12/2002,הנשיא 65,11687-8-4,דירה בבית קומות,3,ראשונה,66.5,"714,000 ₪"
2,1960,07/06/2022,יפה נוף 18,11685-15-8,דירה בבית קומות,3,שניה,96.62,"2,135,000 ₪"
3,1960,07/06/2022,חורשה 14,11689-15-6,דירה בבית קומות,3,שלישית,79.15,"1,580,000 ₪"
3,1960,18/11/2020,חורשה 14,11689-15-6,דירה בבית קומות,3,שלישית,79.15,"1,230,000 ₪"
3,1960,22/11/2017,חורשה 14,11689-15-6,דירה בבית קומות,3,שלישית,79.15,"1,480,000 ₪"
3,1998,30/05/2022,התשבי 19,11718-14-9,דירה בבית קומות,4,"חמישית, שישית",115.95,"1,950,000 ₪"
