קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
0,0,04/02/2025,ללא כתובת,11188-61-47,דירה בבית קומות,3,שישית,95,"1,400,000 ₪"
3,1970,02/02/2025,"האר""י 6",11188-118-19,דירה בבית קומות,4,ראשונה,75.3,"1,250,000 ₪"
22,1970,28/01/2025,הרב קניאל 11,10870-98-35,דירה בבית קומות,3,שישית,67.8,"1,090,000 ₪"
22,1970,25/09/2020,הרב קניאל 11,10870-98-35,דירה בבית קומות,3,שישית,67.8,"700,000 ₪"
22,1970,28/01/2025,הרב קניאל 11,10870-98-104,דירה בבית קומות,3,שבע עשרה,68.9,"1,178,000 ₪"
22,1970,09/01/2025,הרב קניאל 11,10870-98-91,דירה בבית קומות,4,חמש עשרה,83.1,"1,190,000 ₪"
0,0,22/12/2024,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"780,000 ₪"
0,0,27/10/2021,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"640,000 ₪"
0,0,06/08/2012,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"425,000 ₪"
0,0,23/06/2009,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"160,000 ₪"
3,1960,11/12/2024,מקור ברוך 2,11188-97-6,דירה בבית קומות,4,שלישית,95.45,"1,720,000 ₪"
0,0,27/11/2024,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"1,420,000 ₪"
0,0,11/07/2010,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"620,000 ₪"
0,0,12/08/2001,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"296,000 ₪"
0,0,24/11/2024,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"1,190,000 ₪"
0,0,03/09/2014,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"600,000 ₪"
0,0,02/08/2009,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"345,000 ₪"
3,1960,05/11/2024,מקור ברוך 18,11188-84-2,דירה בבית קומות,3,קרקע,51,"930,000 ₪"
0,0,31/10/2024,ללא כתובת,11188-61-48,דירה בבית קומות,3,תשיעית,96,"1,324,000 ₪"
22,1970,21/10/2024,הרב קניאל 11,10870-98-14,דירה בבית קומות,3,שניה,68.9,"512,000 ₪"
22,1970,06/11/2015,הרב קניאל 11,10870-98-14,דירה בבית קומות,3,שניה,68.9,"390,000 ₪"
0,0,10/10/2024,ללא כתובת,10867-122-9,דירה בבית קומות,3,שלישית,53.6,"925,000 ₪"
2,1950,09/10/2024,אליעזר 1,11188-77-1,דירה בבית קומות,5,קרקע,93.5,"2,222,200 ₪"
3,1960,08/10/2024,מקור ברוך 8,11188-98-13,דירה בבית קומות,3,שניה,63.7,"1,450,000 ₪"
2,1950,16/09/2024,מקור ברוך 3,11188-77-21,דירה בבית קומות,2,ראשונה,32,"1,100,000 ₪"
2,1950,20/11/2016,מקור ברוך 3,11188-77-21,דירה בבית קומות,2,ראשונה,32,"730,000 ₪"
2,1950,01/06/2008,מקור ברוך 3,11188-77-21,דירה בבית קומות,2,ראשונה,32,"175,000 ₪"
0,0,29/08/2024,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"1,400,000 ₪"
0,0,16/03/2017,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"300,000 ₪"
0,0,13/12/2012,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"235,000 ₪"
0,0,25/08/2011,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"201,000 ₪"
22,1970,15/08/2024,הרב קניאל 11,10870-98-134,דירה בבית קומות,3,עשרים ושתיים,68.9,"1,150,000 ₪"
3,1960,07/08/2024,מקור ברוך 18,11188-84-3,דירה בבית קומות,1,קרקע,27,"450,000 ₪"
0,0,30/06/2024,ללא כתובת,10867-124-13,דירה בבית קומות,3,שניה,54.85,"930,000 ₪"
0,0,18/01/2017,ללא כתובת,10867-124-13,דירה בבית קומות,3,שניה,54.85,"620,000 ₪"
0,0,24/06/2024,ללא כתובת,10867-181-3,דירה בבית קומות,3,שניה,82.65,"1,665,000 ₪"
3,1950,19/06/2024,זבולון 9,10907-30-8,דירה בבית קומות,2,שניה,48.3,"985,000 ₪"
