קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,1970,13/03/2008,טשרניחובסקי 49,10804-25-6,דירה בבית קומות,4,שלישית,107.79,"720,000 ₪"
2,1980,05/03/2008,אביגדור המאירי 8,10802-173-6,דירה בבית קומות,5,שניה,111.4,"1,045,000 ₪"
7,1970,04/03/2008,סטפן וייז 3,10804-38-94,דירה בבית קומות,3,חמישית,68.03,"740,000 ₪"
4,1960,22/02/2008,אדמונד פלג 36,10804-4-6,דירה בבית קומות,3,שלישית,53.62,"355,000 ₪"
7,1960,21/02/2008,אדמונד פלג 14,10804-97-38,דירה בבית קומות,3,רביעית,75.62,"400,000 ₪"
7,1970,10/02/2008,סטפן וייז 1,10804-38-49,דירה בבית קומות,3,רביעית,68.03,"473,000 ₪"
7,1970,07/07/2004,סטפן וייז 1,10804-38-49,דירה בבית קומות,3,רביעית,68.03,"562,000 ₪"
4,1960,29/01/2008,אדמונד פלג 28,10804-3-31,דירה בבית קומות,3.5,רביעית,66.33,"340,000 ₪"
17,2006,23/01/2008,טשרניחובסקי 43,10804-76-207,דירה בבית קומות,3,קומה 3,110,"889,000 ₪"
4,1981,20/01/2008,קאודרס 4,10804-62-3,דירה בבית קומות,5,שלישית רביעית+ מחסן,138.4,"1,065,000 ₪"
10,1980,17/01/2008,קאודרס 13,10804-53-11,דירה בבית קומות,3,שניה,76.69,"562,000 ₪"
7,1970,09/01/2008,סטפן וייז 1,10804-38-54,דירה בבית קומות,4.5,חמישית,106.3,"770,000 ₪"
1,1960,27/12/2007,ויקטור הוגו 7,10803-61-4,דירה בבית קומות,3,ראשונה,80.6,"713,600 ₪"
2,1950,20/12/2007,ויקטור הוגו 4,10803-53-17,דירה בבית קומות,3,שניה,58,"474,000 ₪"
5,1970,16/12/2007,טשרניחובסקי 55,10804-86-7,דירה בבית קומות,4,שלישית,88.79,"575,000 ₪"
3,1960,26/11/2007,אמיל זולא 30,10803-22-16,דירה בבית קומות,2,שניה,50,"290,000 ₪"
17,2006,23/11/2007,טשרניחובסקי 43,10804-76-9,דירה בבית קומות,4,קומה 3,101.4,"1,220,000 ₪"
3,1970,30/10/2007,טשרניחובסקי 47,10804-24-3,דירה בבית קומות,4.5,שניה,87.8,"650,000 ₪"
2,1960,22/10/2007,ויקטור הוגו 10,10803-55-15,דירה בבית קומות,3,ראשונה,58,"548,000 ₪"
2,1960,16/03/2003,ויקטור הוגו 10,10803-55-15,דירה בבית קומות,3,ראשונה,58,"585,000 ₪"
2,1960,15/01/1999,ויקטור הוגו 10,10803-55-15,דירה בבית קומות,3,ראשונה,58,"649,000 ₪"
