קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
1,1960,30/11/2015,פינסקר 48,11201-26-4,דירה בבית קומות,4,ראשונה,80,"1,240,000 ₪"
3,1980,26/11/2015,טרומפלדור 43,11201-165-2,דירה בבית קומות,4,שניה,113.9,"1,700,000 ₪"
3,1960,16/11/2015,"אד""ם הכהן 5",11201-192-6,דירה בבית קומות,3,שלישית,80,"341,000 ₪"
1,1995,11/11/2015,גלבוע 24,11201-168-1,דירה בבית קומות,1,קרקע+ראשונה,121.51,"2,100,000 ₪"
3,1950,04/11/2015,ברל כצנלסון 19,11200-274-12,דירה בבית קומות,2,שלישית,49.5,"794,000 ₪"
3,1950,29/01/2008,ברל כצנלסון 19,11200-274-12,דירה בבית קומות,2,שלישית,49.5,"303,000 ₪"
3,1960,29/10/2015,גלבוע 18,10885-96-3,דירה בבית קומות,4,שניה,94.58,"600,000 ₪"
6,1980,28/10/2015,"אד""ם הכהן 15",11201-123-3,דירה בבית קומות,4,שלישית,85.96,"1,580,000 ₪"
1,1940,18/10/2015,פרוג 4,10885-16-3,דירה בבית קומות,2.5,ראשונה,57.46,"1,175,000 ₪"
0,0,30/09/2015,ללא כתובת,11201-196-112,דירה בבית קומות,2,שניה,44,"870,000 ₪"
0,0,25/09/2015,ללא כתובת,11201-196-113,דירה בבית קומות,2,ראשונה,43,"880,000 ₪"
3,1970,15/09/2015,פינסקר 41,11201-209-2,דירה בבית קומות,2,קרקע,54.43,"750,000 ₪"
3,1970,26/10/2012,פינסקר 41,11201-209-2,דירה בבית קומות,2,קרקע,54.43,"670,000 ₪"
0,0,03/09/2015,ללא כתובת,11201-196-114,דירה בבית קומות,2,ראשונה,40,"799,000 ₪"
3,1960,30/08/2015,ברל כצנלסון 20,11200-281-10,דירה בבית קומות,2,שניה,37,"691,000 ₪"
