קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,1993,28/07/2024,פרויד 8,10785-128-3,דירה בבית קומות,3,שלישית,75,"1,310,000 ₪"
3,1960,21/07/2024,פרויד 22,10785-67-12,דירה בבית קומות,5,שלוש עשרה,134,"4,050,000 ₪"
0,0,15/07/2024,ללא כתובת,10789-122-1,קרקע למגורים,לא ידוע,לא ידוע,1235,"2,450,000 ₪"
3,1970,23/06/2024,פרויד 24,10785-66-7,דירה בבית קומות,6,שלישית,119.3,"2,000,000 ₪"
3,1970,01/04/2008,פרויד 24,10785-66-7,דירה בבית קומות,6,שלישית,119.3,"1,080,000 ₪"
3,1960,29/05/2024,פרויד 22,10785-67-5,דירה בבית קומות,5,שלישית,95,"2,960,000 ₪"
3,1960,05/05/2011,פרויד 22,10785-67-5,דירה בבית קומות,5,שלישית,95,"790,000 ₪"
3,1960,09/05/2024,פרויד 22,10785-67-13,דירה בבית קומות,4,שביעית,103,"2,935,000 ₪"
4,1970,26/03/2024,פרויד 31,10785-93-6,דירה בבית קומות,4,שלישית,101.45,"1,700,000 ₪"
5,1988,21/03/2024,גאולי תימן 4,10792-216-2,דירה בבית קומות,5,ראשונה,126.52,"2,540,000 ₪"
6,1970,13/03/2024,פרויד 14,10785-72-3,דירה בבית קומות,6,שלישית,116.23,"2,550,000 ₪"
4,1996,13/03/2024,פרויד 20,10785-68-10,דירה בבית קומות,5,ראשונה ושניה,107.31,"1,850,000 ₪"
2,1987,12/03/2024,אלברט שוויצר 68,10792-197-6,דירה בבית קומות,5,שניה שלישית ורביעית,122.47,"2,450,000 ₪"
2,1987,01/07/2016,אלברט שוויצר 68,10792-197-6,דירה בבית קומות,5,שניה שלישית ורביעית,122.47,"1,999,000 ₪"
2,1960,07/03/2024,פרויד 16,10785-70-9,דירה בבית קומות,3,ראשונה,71.59,"1,690,000 ₪"
2,1960,12/05/2006,פרויד 16,10785-70-9,דירה בבית קומות,3,ראשונה,71.59,"629,000 ₪"
12,1994,06/03/2024,ראול ולנברג 32,10787-138-11,דירה בבית קומות,4,שביעית,101.05,"2,070,000 ₪"
4,1990,18/02/2024,מארק שאגאל 9,10794-88-3,דירה בבית קומות,6,שניה,120.3,"2,500,000 ₪"
2,2000,01/02/2024,גיבורי גטו ורשה 6,10792-202-7,דירה בבית קומות,6,שניה ושלישית,154.07,"3,380,000 ₪"
2,1989,24/01/2024,אלברט שוויצר 75,10792-195-2,דירה בבית קומות,7,קרקע ראשונה ושניה,203.65,"3,790,000 ₪"
2,1989,27/01/1998,אלברט שוויצר 75,10792-195-2,דירה בבית קומות,7,קרקע ראשונה ושניה,203.65,"1,662,000 ₪"
4,1998,24/01/2024,ראול ולנברג 8,10794-129-1,דירה בבית קומות,4,קרקע וראשונה,121.9,"2,300,000 ₪"
2,1990,22/01/2024,פרץ ברנשטיין 1,10794-97-4,דירה בבית קומות,5,שניה ושלישית,118.3,"1,729,100 ₪"
12,1994,18/12/2023,ראול ולנברג 32,10787-138-13,דירה בבית קומות,4,שמינית,101,"2,200,000 ₪"
1,1988,14/12/2023,גאולי תימן 5,10794-139-11,דירה בבית קומות,6,שלישית ורביעית,173.24,"2,920,000 ₪"
10,1980,13/12/2023,ראול ולנברג 9,10794-138-18,דירה בבית קומות,4,חמישית,92.81,"1,800,000 ₪"
