קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר,שכונה,ריבית בנק ישראל
0.0,0.0,2025-02-04,ללא כתובת,11188-61-47,דירה בבית קומות,3,שישית,95,"1,400,000 ₪",רמת ויזניץ,0.045
3.0,1970.0,2025-02-02,"האר""י 6",11188-118-19,דירה בבית קומות,4,ראשונה,75.3,"1,250,000 ₪",רמת ויזניץ,0.045
22.0,1970.0,2025-01-28,הרב קניאל 11,10870-98-35,דירה בבית קומות,3,שישית,67.8,"1,090,000 ₪",רמת ויזניץ,0.045
22.0,1970.0,2020-09-25,הרב קניאל 11,10870-98-35,דירה בבית קומות,3,שישית,67.8,"700,000 ₪",רמת ויזניץ,0.1
22.0,1970.0,2025-01-28,הרב קניאל 11,10870-98-104,דירה בבית קומות,3,שבע עשרה,68.9,"1,178,000 ₪",רמת ויזניץ,0.045
22.0,1970.0,2025-01-09,הרב קניאל 11,10870-98-91,דירה בבית קומות,4,חמש עשרה,83.1,"1,190,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-12-22,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"780,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2021-10-27,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"640,000 ₪",רמת ויזניץ,0.1
0.0,0.0,2012-08-06,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"425,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2009-06-23,ללא כתובת,10867-217-8,דירה בבית קומות,2.5,שלישית,40.3,"160,000 ₪",רמת ויזניץ,0.07
3.0,1960.0,2024-12-11,מקור ברוך 2,11188-97-6,דירה בבית קומות,4,שלישית,95.45,"1,720,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-11-27,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"1,420,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2010-07-11,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"620,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2001-08-12,ללא כתובת,10867-181-1,דירה בבית קומות,3.5,קרקע,70.6,"296,000 ₪",רמת ויזניץ,0.07
0.0,0.0,2024-11-24,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"1,190,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2014-09-03,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"600,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2009-08-02,ללא כתובת,10867-122-2,דירה בבית קומות,2.5,קרקע,51,"345,000 ₪",רמת ויזניץ,0.07
3.0,1960.0,2024-11-05,מקור ברוך 18,11188-84-2,דירה בבית קומות,3,קרקע,51,"930,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-10-31,ללא כתובת,11188-61-48,דירה בבית קומות,3,תשיעית,96,"1,324,000 ₪",רמת ויזניץ,0.045
22.0,1970.0,2024-10-21,הרב קניאל 11,10870-98-14,דירה בבית קומות,3,שניה,68.9,"512,000 ₪",רמת ויזניץ,0.045
22.0,1970.0,2015-11-06,הרב קניאל 11,10870-98-14,דירה בבית קומות,3,שניה,68.9,"390,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2024-10-10,ללא כתובת,10867-122-9,דירה בבית קומות,3,שלישית,53.6,"925,000 ₪",רמת ויזניץ,0.045
2.0,1950.0,2024-10-09,אליעזר 1,11188-77-1,דירה בבית קומות,5,קרקע,93.5,"2,222,200 ₪",רמת ויזניץ,0.045
3.0,1960.0,2024-10-08,מקור ברוך 8,11188-98-13,דירה בבית קומות,3,שניה,63.7,"1,450,000 ₪",רמת ויזניץ,0.045
2.0,1950.0,2024-09-16,מקור ברוך 3,11188-77-21,דירה בבית קומות,2,ראשונה,32,"1,100,000 ₪",רמת ויזניץ,0.045
2.0,1950.0,2016-11-20,מקור ברוך 3,11188-77-21,דירה בבית קומות,2,ראשונה,32,"730,000 ₪",רמת ויזניץ,0.01
2.0,1950.0,2008-06-01,מקור ברוך 3,11188-77-21,דירה בבית קומות,2,ראשונה,32,"175,000 ₪",רמת ויזניץ,0.07
0.0,0.0,2024-08-29,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"1,400,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2017-03-16,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"300,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2012-12-13,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"235,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2011-08-25,ללא כתובת,10867-201-1,דירה בבית קומות,4,מסד,83.64,"201,000 ₪",רמת ויזניץ,0.03
22.0,1970.0,2024-08-15,הרב קניאל 11,10870-98-134,דירה בבית קומות,3,עשרים ושתיים,68.9,"1,150,000 ₪",רמת ויזניץ,0.045
3.0,1960.0,2024-08-07,מקור ברוך 18,11188-84-3,דירה בבית קומות,1,קרקע,27,"450,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-06-30,ללא כתובת,10867-124-13,דירה בבית קומות,3,שניה,54.85,"930,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2017-01-18,ללא כתובת,10867-124-13,דירה בבית קומות,3,שניה,54.85,"620,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2024-06-24,ללא כתובת,10867-181-3,דירה בבית קומות,3,שניה,82.65,"1,665,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2024-06-19,זבולון 9,10907-30-8,דירה בבית קומות,2,שניה,48.3,"985,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2011-06-14,זבולון 9,10907-30-8,דירה בבית קומות,2,שניה,48.3,"400,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2024-05-12,ללא כתובת,11188-61-49,דירה בבית קומות,3,תשיעית,96,"1,400,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-05-05,ללא כתובת,10907-42-1,דירה בבית קומות,3,קרקע,56.5,"1,000,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2019-09-11,ללא כתובת,10907-42-1,דירה בבית קומות,3,קרקע,56.5,"788,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2009-10-28,ללא כתובת,10907-42-1,דירה בבית קומות,3,קרקע,56.5,"215,000 ₪",רמת ויזניץ,0.07
0.0,0.0,2009-06-23,ללא כתובת,10907-42-1,דירה בבית קומות,3,קרקע,56.5,"210,000 ₪",רמת ויזניץ,0.07
1.0,1990.0,2024-04-16,מקור ברוך 13,11188-144-3,דירה בבית קומות,1,ראשונה,לא ידוע,"1,650,000 ₪",רמת ויזניץ,0.045
8.0,2000.0,2024-04-08,אהבת ישראל 6,11188-1-15,דירה בבית קומות,6,רביעית,130,"2,050,000 ₪",רמת ויזניץ,0.045
4.0,1970.0,2024-04-02,הרב קניאל 1,10870-99-17,דירה בבית קומות,4,ראשונה,100,"1,620,000 ₪",רמת ויזניץ,0.045
8.0,2010.0,2024-04-01,אהבת ישראל 14,11188-130-11,דירה בבית קומות,3,שישית,79.91,"1,850,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2024-03-27,ארנון 6,10907-35-1,דירה בבית קומות,2,קרקע,34.1,"640,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2012-12-26,ארנון 6,10907-35-1,דירה בבית קומות,2,קרקע,34.1,"345,000 ₪",רמת ויזניץ,0.03
4.0,1970.0,2024-03-14,הרב קניאל 1,10870-99-16,דירה בבית קומות,4,שלישית,104,"1,650,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-02-18,ללא כתובת,10867-122-12,דירה בבית קומות,3,רביעית,52.4,"1,100,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2003-04-13,ללא כתובת,10867-122-12,דירה בבית קומות,3,רביעית,52.4,"330,000 ₪",רמת ויזניץ,0.07
0.0,0.0,1999-12-24,ללא כתובת,10867-122-12,דירה בבית קומות,3,רביעית,52.4,"366,000 ₪",רמת ויזניץ,0.15
3.0,1950.0,2024-02-15,זבולון 15,10907-36-7,דירה בבית קומות,2,ראשונה,35.5,"600,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2020-09-01,זבולון 15,10907-36-7,דירה בבית קומות,2,ראשונה,35.5,"535,000 ₪",רמת ויזניץ,0.1
3.0,1950.0,2005-04-18,זבולון 15,10907-36-7,דירה בבית קומות,2,ראשונה,35.5,"105,000 ₪",רמת ויזניץ,0.07
3.0,1960.0,2024-01-24,מקור ברוך 18,11188-84-7,דירה בבית קומות,2.5,שניה,30.5,"1,200,000 ₪",רמת ויזניץ,0.045
5.0,1970.0,2024-01-16,"האר""י 20",11188-121-2,דירה בבית קומות,5,ראשונה שניה,134.8,"1,725,000 ₪",רמת ויזניץ,0.045
5.0,1970.0,2018-03-14,"האר""י 20",11188-121-2,דירה בבית קומות,5,ראשונה שניה,134.8,"1,350,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2024-01-08,אהבת ישראל 8,11188-127-1,קרקע למגורים,לא ידוע,לא ידוע,1782,"8,812,000 ₪",רמת ויזניץ,0.045
3.0,1960.0,2024-01-07,מקור ברוך 2,11188-97-1,דירה בבית קומות,4,ראשונה,106.6,"700,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2024-01-04,ללא כתובת,10867-126-5,דירה בבית קומות,2,ראשונה,27,"450,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2011-02-20,ללא כתובת,10867-126-5,דירה בבית קומות,2,ראשונה,27,"135,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2024-01-04,ללא כתובת,10867-126-4,דירה בבית קומות,3,ראשונה,48,"750,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2011-02-20,ללא כתובת,10867-126-4,דירה בבית קומות,3,ראשונה,48,"250,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2024-01-04,ללא כתובת,10867-126-2,דירה בבית קומות,3,קרקע,47.85,"700,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2011-02-20,ללא כתובת,10867-126-2,דירה בבית קומות,3,קרקע,47.85,"387,000 ₪",רמת ויזניץ,0.03
8.0,2007.0,2023-12-20,אהבת ישראל 12,11188-129-20,דירה בבית קומות,3,שביעית,74.93,"1,420,000 ₪",רמת ויזניץ,0.045
8.0,2007.0,2009-04-20,אהבת ישראל 12,11188-129-20,דירה בבית קומות,3,שביעית,74.93,"430,000 ₪",רמת ויזניץ,0.07
0.0,0.0,2023-10-31,ללא כתובת,11188-61-50,דירה בבית קומות,4,חמישית,92,"1,770,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-09-28,ללא כתובת,10867-127-7,דירה בבית קומות,2,שניה,50.08,"715,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2023-09-21,זבולון 9,10907-30-6,דירה בבית קומות,2.5,ראשונה,48.3,"915,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2016-07-13,זבולון 9,10907-30-6,דירה בבית קומות,2.5,ראשונה,48.3,"635,000 ₪",רמת ויזניץ,0.01
3.0,1950.0,2023-09-21,זבולון 9,10907-30-9,דירה בבית קומות,2,שלישית,46.6,"775,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2021-06-21,זבולון 9,10907-30-9,דירה בבית קומות,2,שלישית,46.6,"665,000 ₪",רמת ויזניץ,0.1
3.0,1950.0,2013-03-17,זבולון 9,10907-30-9,דירה בבית קומות,2,שלישית,46.6,"533,000 ₪",רמת ויזניץ,0.03
3.0,1950.0,2011-10-26,זבולון 9,10907-30-9,דירה בבית קומות,2,שלישית,46.6,"410,000 ₪",רמת ויזניץ,0.03
3.0,1950.0,2009-07-20,זבולון 9,10907-30-9,דירה בבית קומות,2,שלישית,46.6,"150,000 ₪",רמת ויזניץ,0.07
3.0,1950.0,2023-09-13,זבולון 9,10907-30-10,דירה בבית קומות,2.5,שלישית,48.3,"800,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2021-09-12,זבולון 9,10907-30-10,דירה בבית קומות,2.5,שלישית,48.3,"685,000 ₪",רמת ויזניץ,0.1
3.0,1950.0,2014-06-06,זבולון 9,10907-30-10,דירה בבית קומות,2.5,שלישית,48.3,"595,000 ₪",רמת ויזניץ,0.03
3.0,1950.0,2008-05-05,זבולון 9,10907-30-10,דירה בבית קומות,2.5,שלישית,48.3,"142,000 ₪",רמת ויזניץ,0.07
0.0,0.0,2023-08-25,ללא כתובת,11188-61-46,דירה בבית קומות,4,חמישית,101,"1,700,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-08-25,ללא כתובת,11188-61-45,דירה בבית קומות,3,חמישית,70,"1,350,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-08-17,ללא כתובת,10867-122-8,דירה בבית קומות,2,שניה,51,"915,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2009-04-01,ללא כתובת,10867-122-8,דירה בבית קומות,2,שניה,51,"300,000 ₪",רמת ויזניץ,0.07
4.0,1970.0,2023-08-13,הרב קניאל 1,10870-99-15,דירה בבית קומות,4,רביעית,98,"1,650,000 ₪",רמת ויזניץ,0.045
3.0,1960.0,2023-08-09,מקור ברוך 8,11188-98-9,דירה בבית קומות,3,ראשונה,63.7,"1,270,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-06-15,ללא כתובת,11188-61-44,דירה בבית קומות,3,שלישית,70,"1,050,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2023-06-05,זבולון 13,10907-34-7,דירה בבית קומות,3,ראשונה,55.5,"900,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2011-09-12,זבולון 13,10907-34-7,דירה בבית קומות,3,ראשונה,55.5,"505,000 ₪",רמת ויזניץ,0.03
3.0,1950.0,2009-04-07,זבולון 13,10907-34-7,דירה בבית קומות,3,ראשונה,55.5,"350,000 ₪",רמת ויזניץ,0.07
3.0,1950.0,2008-11-03,זבולון 13,10907-34-7,דירה בבית קומות,3,ראשונה,55.5,"220,000 ₪",רמת ויזניץ,0.07
5.0,1970.0,2023-05-28,"האר""י 24",11188-121-20,דירה בבית קומות,3,שלישית,75.5,"1,050,000 ₪",רמת ויזניץ,0.045
5.0,1970.0,2011-11-29,"האר""י 24",11188-121-20,דירה בבית קומות,3,שלישית,75.5,"590,000 ₪",רמת ויזניץ,0.03
8.0,2000.0,2023-04-23,אהבת ישראל 4,11188-1-14,דירה בבית קומות,4,ראשונה,100,"1,525,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2023-04-23,זבולון 15,10907-36-18,דירה בבית קומות,4,שניה,118,"241,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-04-02,ללא כתובת,11188-61-51,דירה בבית קומות,3,שניה,80,"1,050,000 ₪",רמת ויזניץ,0.045
8.0,2010.0,2023-03-29,אהבת ישראל 14,11188-130-14,דירה בבית קומות,3,שביעית,78.36,"1,150,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-03-20,ללא כתובת,10867-121-3,דירה בבית קומות,3,ראשונה,52.07,"925,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2023-03-16,ללא כתובת,10907-42-3,דירה בבית קומות,2.5,שניה,56.5,"750,000 ₪",רמת ויזניץ,0.045
0.0,0.0,2017-02-12,ללא כתובת,10907-42-3,דירה בבית קומות,2.5,שניה,56.5,"700,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2013-01-14,ללא כתובת,10907-42-3,דירה בבית קומות,2.5,שניה,56.5,"485,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2023-03-05,ללא כתובת,11188-61-52,דירה בבית קומות,3,חמישית,85,"1,310,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2023-02-08,זבולון 13,10907-34-2,דירה בבית קומות,1,מרתף,24.3,"255,000 ₪",רמת ויזניץ,0.045
3.0,1950.0,2001-03-07,זבולון 13,10907-34-2,דירה בבית קומות,1,מרתף,24.3,"90,000 ₪",רמת ויזניץ,0.07
2.0,1950.0,2023-02-02,תבור 5,10907-41-6,דירה בבית קומות,2,שניה,28.6,"580,000 ₪",רמת ויזניץ,0.045
2.0,1950.0,2018-10-14,תבור 5,10907-41-6,דירה בבית קומות,2,שניה,28.6,"300,000 ₪",רמת ויזניץ,0.01
3.0,1970.0,2023-01-29,"האר""י 6",11188-118-18,דירה בבית קומות,2,קרקע,64.4,"400,000 ₪",רמת ויזניץ,0.045
2.0,1950.0,2023-01-15,מיכאל 41,10907-37-6,דירה בבית קומות,2.5,קרקע,50.46,"890,000 ₪",רמת ויזניץ,0.045
2.0,1950.0,2016-08-02,מיכאל 41,10907-37-6,דירה בבית קומות,2.5,קרקע,50.46,"650,000 ₪",רמת ויזניץ,0.01
2.0,1950.0,2003-01-07,מיכאל 41,10907-37-6,דירה בבית קומות,2.5,קרקע,50.46,"257,000 ₪",רמת ויזניץ,0.07
22.0,1970.0,2023-01-02,הרב קניאל 11,10870-98-70,דירה בבית קומות,4,שתים עשרה,81.5,"97,000 ₪",רמת ויזניץ,0.045
5.0,1968.0,2022-12-04,מקור ברוך 10,11188-99-5,דירה בבית קומות,3,ראשונה,53,"1,200,000 ₪",רמת ויזניץ,0.35
5.0,1968.0,2005-09-29,מקור ברוך 10,11188-99-5,דירה בבית קומות,3,ראשונה,53,"481,000 ₪",רמת ויזניץ,0.07
5.0,1968.0,1999-10-24,מקור ברוך 10,11188-99-5,דירה בבית קומות,3,ראשונה,53,"341,000 ₪",רמת ויזניץ,0.15
2.0,1950.0,2022-11-17,מיכאל 41,10907-37-2,מחסנים,לא ידוע,מרתף,לא ידוע,"109,000 ₪",רמת ויזניץ,0.35
0.0,0.0,2022-10-31,ללא כתובת,10867-122-6,משרד,לא ידוע,שניה,53.6,"1,155,000 ₪",רמת ויזניץ,0.35
3.0,1960.0,2022-10-19,"האר""י 12",11188-117-17,דירה בבית קומות,2,קרקע,64.4,"830,000 ₪",רמת ויזניץ,0.35
3.0,1960.0,2019-08-12,"האר""י 12",11188-117-17,דירה בבית קומות,2,קרקע,64.4,"600,000 ₪",רמת ויזניץ,0.01
2.0,1950.0,2022-09-21,מיכאל 41,10907-37-4,מחסנים,לא ידוע,קרקע,לא ידוע,"120,000 ₪",רמת ויזניץ,0.35
2.0,1950.0,2016-08-03,מיכאל 41,10907-37-4,מחסנים,לא ידוע,קרקע,לא ידוע,"90,000 ₪",רמת ויזניץ,0.01
3.0,1950.0,2022-09-06,ארנון 6,10907-35-7,דירה בבית קומות,2,שלישית,27.11,"620,000 ₪",רמת ויזניץ,0.35
3.0,1950.0,2019-12-05,ארנון 6,10907-35-7,דירה בבית קומות,2,שלישית,27.11,"435,000 ₪",רמת ויזניץ,0.01
3.0,1950.0,2013-10-13,ארנון 6,10907-35-7,דירה בבית קומות,2,שלישית,27.11,"286,000 ₪",רמת ויזניץ,0.03
3.0,1950.0,2011-02-10,ארנון 6,10907-35-7,דירה בבית קומות,2,שלישית,27.11,"200,000 ₪",רמת ויזניץ,0.03
3.0,1950.0,1998-03-05,ארנון 6,10907-35-7,דירה בבית קומות,2,שלישית,27.11,"168,000 ₪",רמת ויזניץ,0.15
22.0,1970.0,2022-09-05,הרב קניאל 11,10870-98-9,דירה בבית קומות,3,ראשונה,68.9,"1,000,000 ₪",רמת ויזניץ,0.35
22.0,1970.0,2016-04-01,הרב קניאל 11,10870-98-9,דירה בבית קומות,3,ראשונה,68.9,"800,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2022-09-01,ללא כתובת,10867-170-1,דירה בבית קומות,3,קרקע,49.76,"840,000 ₪",רמת ויזניץ,0.35
0.0,0.0,2013-06-12,ללא כתובת,10867-170-1,דירה בבית קומות,3,קרקע,49.76,"490,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2003-03-26,ללא כתובת,10867-170-1,דירה בבית קומות,3,קרקע,49.76,"292,000 ₪",רמת ויזניץ,0.07
5.0,1970.0,2022-08-29,"האר""י 22",11188-121-10,דירה בבית קומות,3,שניה,75.5,"960,000 ₪",רמת ויזניץ,0.35
5.0,1970.0,2003-07-02,"האר""י 22",11188-121-10,דירה בבית קומות,3,שניה,75.5,"467,000 ₪",רמת ויזניץ,0.07
2.0,1950.0,2022-08-23,מיכאל 41,10907-37-7,דירה בבית קומות,2,ראשונה,50.84,"700,000 ₪",רמת ויזניץ,0.35
2.0,1950.0,2016-11-02,מיכאל 41,10907-37-7,דירה בבית קומות,2,ראשונה,50.84,"720,000 ₪",רמת ויזניץ,0.01
2.0,1950.0,2010-03-17,מיכאל 41,10907-37-7,דירה בבית קומות,2,ראשונה,50.84,"410,000 ₪",רמת ויזניץ,0.03
2.0,1935.0,2022-08-17,מיכאל 43,10907-39-10,דירה בבית קומות,3,ראשונה,80,"590,000 ₪",רמת ויזניץ,0.35
3.0,1960.0,2022-08-14,מקור ברוך 18,11188-84-26,דירה בבית קומות,3,שניה,60,"1,050,000 ₪",רמת ויזניץ,0.35
22.0,1970.0,2022-08-09,הרב קניאל 11,10870-98-7,דירה בבית קומות,3,ראשונה,67.8,"825,000 ₪",רמת ויזניץ,0.35
22.0,1970.0,2013-09-15,הרב קניאל 11,10870-98-7,דירה בבית קומות,3,ראשונה,67.8,"650,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2022-08-08,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"555,000 ₪",רמת ויזניץ,0.35
0.0,0.0,2021-08-19,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"395,000 ₪",רמת ויזניץ,0.1
0.0,0.0,2015-07-15,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"400,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2012-05-31,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"250,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2011-12-11,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"235,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2011-05-12,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"220,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2009-07-16,ללא כתובת,10867-127-2,דירה בבית קומות,2,מרתף,30.15,"95,000 ₪",רמת ויזניץ,0.07
22.0,1970.0,2022-08-03,הרב קניאל 11,10870-98-51,דירה בבית קומות,3,תשיעית,70.7,"950,000 ₪",רמת ויזניץ,0.35
3.0,1950.0,2022-07-19,זבולון 15,10907-36-5,דירה בבית קומות,2,קרקע,38,"600,000 ₪",רמת ויזניץ,0.35
3.0,1950.0,,זבולון 15,10907-36-5,דירה בבית קומות,2,קרקע,38,"276,000 ₪",רמת ויזניץ,
22.0,1970.0,2022-07-14,הרב קניאל 11,10870-98-112,דירה בבית קומות,4,תשע עשרה,81.5,"1,200,000 ₪",רמת ויזניץ,0.35
22.0,1970.0,2015-04-19,הרב קניאל 11,10870-98-112,דירה בבית קומות,4,תשע עשרה,81.5,"900,000 ₪",רמת ויזניץ,0.01
22.0,1970.0,2011-02-21,הרב קניאל 11,10870-98-112,דירה בבית קומות,4,תשע עשרה,81.5,"750,000 ₪",רמת ויזניץ,0.03
4.0,1940.0,2022-07-05,ארנון 4,10907-32-5,דירה בבית קומות,3,שניה,60,"630,000 ₪",רמת ויזניץ,0.35
4.0,1970.0,2022-06-26,הרב קניאל 1,10870-99-14,דירה בבית קומות,4,ראשונה,85,"1,170,000 ₪",רמת ויזניץ,0.35
8.0,2000.0,2022-05-31,אהבת ישראל 4,11188-1-13,דירה בבית קומות,4,ראשונה,120,"1,400,000 ₪",רמת ויזניץ,0.35
3.0,1950.0,2022-05-23,זבולון 9,10907-30-5,דירה בבית קומות,2,ראשונה,46.6,"700,000 ₪",רמת ויזניץ,0.35
3.0,1950.0,2003-12-02,זבולון 9,10907-30-5,דירה בבית קומות,2,ראשונה,46.6,"194,000 ₪",רמת ויזניץ,0.07
8.0,2007.0,2022-04-26,אהבת ישראל 12,11188-129-7,דירה בבית קומות,4,רביעית,100.02,"1,400,000 ₪",רמת ויזניץ,0.35
8.0,2007.0,2018-05-07,אהבת ישראל 12,11188-129-7,דירה בבית קומות,4,רביעית,100.02,"1,200,000 ₪",רמת ויזניץ,0.01
3.0,1950.0,2022-03-29,זבולון 9,10907-30-4,דירה בבית קומות,2,קרקע,48.3,"590,000 ₪",רמת ויזניץ,0.35
8.0,2000.0,2022-03-27,אהבת ישראל 10,11188-128-22,דירה בבית קומות,3,שמינית,74.93,"1,185,000 ₪",רמת ויזניץ,0.35
22.0,1970.0,2022-03-24,הרב קניאל 11,10870-98-133,דירה בבית קומות,4,עשרים ושתיים,83.1,"1,000,000 ₪",רמת ויזניץ,0.35
2.0,1950.0,2022-03-20,תבור 5,10907-41-1,דירה בבית קומות,2,קרקע,47.5,"680,000 ₪",רמת ויזניץ,0.35
2.0,1950.0,2019-08-12,תבור 5,10907-41-1,דירה בבית קומות,2,קרקע,47.5,"635,000 ₪",רמת ויזניץ,0.01
3.0,1950.0,2022-03-11,זבולון 15,10907-36-10,דירה בבית קומות,1,שניה,29.9,"300,000 ₪",רמת ויזניץ,0.35
0.0,0.0,2022-03-09,ללא כתובת,10867-127-9,דירה בבית קומות,3,שלישית,50.08,"585,000 ₪",רמת ויזניץ,0.35
3.0,1960.0,2022-03-01,"האר""י 14",11188-116-6,דירת גן,3,שניה,75.3,"950,000 ₪",רמת ויזניץ,0.35
2.0,1982.0,2022-02-20,מקור ברוך 15,11188-162-2,דירת גן,4,שלישית,90,"1,500,000 ₪",רמת ויזניץ,0.35
8.0,2000.0,2022-02-03,אהבת ישראל 10,11188-128-20,דירה בבית קומות,3,שביעית,77.07,"1,110,000 ₪",רמת ויזניץ,0.35
3.0,1970.0,2022-01-04,"האר""י 2",11188-118-7,דירה בבית קומות,3,שלישית,76.3,"950,000 ₪",רמת ויזניץ,0.35
0.0,0.0,2021-12-15,ללא כתובת,10867-217-1,דירה בבית קומות,2,קרקע,40.3,"600,000 ₪",רמת ויזניץ,0.1
0.0,0.0,2019-12-15,ללא כתובת,10867-217-1,דירה בבית קומות,2,קרקע,40.3,"620,000 ₪",רמת ויזניץ,0.01
0.0,0.0,2000-08-20,ללא כתובת,10867-217-1,דירה בבית קומות,2,קרקע,40.3,"311,000 ₪",רמת ויזניץ,0.07
5.0,1970.0,2021-12-09,"האר""י 24",11188-121-19,דירה בבית קומות,3,שניה,75.5,"1,050,000 ₪",רמת ויזניץ,0.1
5.0,1970.0,2017-09-13,"האר""י 24",11188-121-19,דירה בבית קומות,3,שניה,75.5,"785,000 ₪",רמת ויזניץ,0.01
3.0,1960.0,2021-11-28,"האר""י 10",11188-117-15,דירה בבית קומות,3,שלישית,75.3,"475,000 ₪",רמת ויזניץ,0.1
3.0,1960.0,2011-12-13,"האר""י 10",11188-117-15,דירה בבית קומות,3,שלישית,75.3,"560,000 ₪",רמת ויזניץ,0.03
0.0,0.0,2021-11-23,ללא כתובת,11188-61-43,דירה בבית קומות,5,רביעית,120,"1,600,000 ₪",רמת ויזניץ,0.1
2.0,1950.0,2021-11-23,ארנון 10,10907-43-2,דירה בבית קומות,2,קרקע,28.9,"237,000 ₪",רמת ויזניץ,0.1
2.0,1950.0,2015-10-18,ארנון 10,10907-43-2,דירה בבית קומות,2,קרקע,28.9,"375,000 ₪",רמת ויזניץ,0.01
2.0,1950.0,2010-02-01,ארנון 10,10907-43-2,דירה בבית קומות,2,קרקע,28.9,"140,000 ₪",רמת ויזניץ,0.03
