קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר,שכונה,ריבית בנק ישראל
13.0,1970.0,2020-08-17,הפרחים 9,11192-271-35,דירה בבית קומות,4,שישית,81.75,"1,020,000 ₪",רמת בן גוריון,0.1
13.0,1970.0,2012-12-06,הפרחים 9,11192-271-35,דירה בבית קומות,4,שישית,81.75,"960,000 ₪",רמת בן גוריון,0.03
4.0,1990.0,2020-08-13,הצוללת דקר 4,11192-367-16,דירה בבית קומות,5,שלישית רביעית חמישית,136.37,"1,830,000 ₪",רמת בן גוריון,0.1
4.0,1990.0,2006-02-27,הצוללת דקר 4,11192-367-16,דירה בבית קומות,5,שלישית רביעית חמישית,136.37,"1,149,000 ₪",רמת בן גוריון,0.07
22.0,1970.0,2020-08-06,אורן 23,11192-345-35,דירה בבית קומות,4,שביעית,106.82,"1,280,000 ₪",רמת בן גוריון,0.1
6.0,1960.0,2020-08-05,אורן 15,11192-240-8,דירה בבית קומות,4,שלישית,83,"1,090,000 ₪",רמת בן גוריון,0.1
5.0,1960.0,2020-08-03,אורן 7,11192-244-25,דירה בבית קומות,2.5,מרתף,38,"800,000 ₪",רמת בן גוריון,0.1
5.0,1960.0,2015-08-02,אורן 7,11192-244-25,דירה בבית קומות,2.5,מרתף,38,"740,000 ₪",רמת בן גוריון,0.01
2.0,1983.0,2020-07-23,מרטין בובר 13,11192-178-1,דירה בבית קומות,4,קרקע,93.3,"1,400,000 ₪",רמת בן גוריון,0.1
6.0,1960.0,2020-06-18,אורן 17,11192-239-14,דירה בבית קומות,3.5,מרתף,77,"1,185,000 ₪",רמת בן גוריון,0.1
6.0,1960.0,2005-07-24,אורן 17,11192-239-14,דירה בבית קומות,3.5,מרתף,77,"661,000 ₪",רמת בן גוריון,0.07
6.0,1960.0,1999-01-24,אורן 17,11192-239-14,דירה בבית קומות,3.5,מרתף,77,"632,000 ₪",רמת בן גוריון,0.15
7.0,1996.0,2020-06-03,אורן 44,11192-107-7,דירה בבית קומות,5,שניה ושלישית,100,"1,690,000 ₪",רמת בן גוריון,0.1
2.0,1998.0,2020-05-21,"זלמן שז""ר 7",11192-146-2,דירה בבית קומות,6,קרקע וראשונה,140.67,"2,150,000 ₪",רמת בן גוריון,0.1
15.0,1960.0,2020-05-10,הפרחים 1,11192-274-25,דירה בבית קומות,3,חמישית,52,"870,000 ₪",רמת בן גוריון,0.1
7.0,1970.0,2020-05-07,הנטקה 41,11192-268-12,דירה בבית קומות,3,שלישית,83.28,"1,115,000 ₪",רמת בן גוריון,0.1
22.0,1970.0,2020-03-08,אורן 23,11192-345-77,דירה בבית קומות,4,ארבע עשרה,107.02,"1,318,000 ₪",רמת בן גוריון,0.1
22.0,1970.0,2015-07-09,אורן 23,11192-345-77,דירה בבית קומות,4,ארבע עשרה,107.02,"1,290,000 ₪",רמת בן גוריון,0.01
22.0,1970.0,1999-11-01,אורן 23,11192-345-77,דירה בבית קומות,4,ארבע עשרה,107.02,"996,000 ₪",רמת בן גוריון,0.15
1.0,1993.0,2020-03-01,מרטין בובר 18,11192-193-4,דירה בבית קומות,6,"ראשנה,שניה,שלישית",156.76,"2,280,000 ₪",רמת בן גוריון,0.1
12.0,1970.0,2020-02-28,אורן 31,11192-317-27,דירה בבית קומות,3,רביעית,59.25,"875,000 ₪",רמת בן גוריון,0.1
13.0,1960.0,2020-02-27,אורן 35,11192-319-31,דירה בבית קומות,3,שישית,56.6,"935,000 ₪",רמת בן גוריון,0.1
5.0,1970.0,2020-02-23,אורן 9,11192-243-21,דירה בבית קומות,3,רביעית,77,"1,210,000 ₪",רמת בן גוריון,0.1
5.0,1970.0,2012-10-29,אורן 9,11192-243-21,דירה בבית קומות,3,רביעית,77,"790,000 ₪",רמת בן גוריון,0.03
5.0,1970.0,2006-02-09,אורן 9,11192-243-21,דירה בבית קומות,3,רביעית,77,"484,000 ₪",רמת בן גוריון,0.07
14.0,1960.0,2020-02-19,הפרחים 5,11192-288-33,דירה בבית קומות,3,שישית,53,"965,000 ₪",רמת בן גוריון,0.1
7.0,1970.0,2020-02-16,הנטקה 43,11192-269-3,דירה בבית קומות,4,ראשונה,96.36,"1,175,000 ₪",רמת בן גוריון,0.1
14.0,1960.0,2020-01-29,הפרחים 5,11192-288-4,דירה בבית קומות,3,ראשונה,51,"900,000 ₪",רמת בן גוריון,0.1
14.0,1960.0,2013-08-06,הפרחים 5,11192-288-4,דירה בבית קומות,3,ראשונה,51,"910,000 ₪",רמת בן גוריון,0.03
14.0,1960.0,2003-11-07,הפרחים 5,11192-288-4,דירה בבית קומות,3,ראשונה,51,"372,000 ₪",רמת בן גוריון,0.07
1.0,1985.0,2020-01-28,"זלמן שז""ר 5",11192-145-5,דירה בבית קומות,5,שניה שלישית,118.4,"1,635,000 ₪",רמת בן גוריון,0.1
14.0,1970.0,2020-01-27,הפרחים 3,11192-273-25,דירה בבית קומות,3,חמישית,52,"900,000 ₪",רמת בן גוריון,0.1
4.0,1960.0,2020-01-20,שקמה 6,11192-250-3,דירה בבית קומות,3,ראשונה,63,"1,100,000 ₪",רמת בן גוריון,0.1
4.0,1960.0,2011-05-26,שקמה 6,11192-250-3,דירה בבית קומות,3,ראשונה,63,"830,000 ₪",רמת בן גוריון,0.03
4.0,1960.0,2004-03-28,שקמה 6,11192-250-3,דירה בבית קומות,3,ראשונה,63,"542,000 ₪",רמת בן גוריון,0.07
22.0,1970.0,2020-01-16,אורן 23,11192-345-26,דירה בבית קומות,4,חמישית,106.82,"1,210,000 ₪",רמת בן גוריון,0.1
22.0,1970.0,2012-07-12,אורן 23,11192-345-26,דירה בבית קומות,4,חמישית,106.82,"1,110,000 ₪",רמת בן גוריון,0.03
14.0,1960.0,2020-01-14,הפרחים 5,11192-288-21,דירה בבית קומות,2.5,רביעית,53,"900,000 ₪",רמת בן גוריון,0.1
2.0,1981.0,2020-01-14,"זלמן שז""ר 4",11192-167-6,דירה בבית קומות,5,שניה שלישית רביעית,199.46,"1,930,000 ₪",רמת בן גוריון,0.1
13.0,1970.0,2019-12-25,הפרחים 9,11192-271-17,דירה בבית קומות,4,שלישית,81.75,"1,120,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,2019-12-18,אורן 20,11192-265-9,דירה בבית קומות,3,שניה,58,"1,050,000 ₪",רמת בן גוריון,0.01
4.0,1980.0,2019-12-05,הצוללת דקר 19,11192-169-8,דירה בבית קומות,3,שניה שלישית רביעית,74.7,"1,115,000 ₪",רמת בן גוריון,0.01
4.0,1980.0,2009-03-19,הצוללת דקר 19,11192-169-8,דירה בבית קומות,3,שניה שלישית רביעית,74.7,"570,000 ₪",רמת בן גוריון,0.07
0.0,1986.0,2019-11-10,"זלמן שז""ר 15",11192-150-5,דירת גן,5,"מרתף,קרקע וראשונה",153.48,"2,000,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,2019-10-31,אורן 31,11192-317-40,דירה בבית קומות,3,שישית,59.25,"939,000 ₪",רמת בן גוריון,0.01
4.0,1965.0,2019-10-31,אורן 38,11192-260-3,דירה בבית קומות,3,ראשונה,74.25,"1,121,200 ₪",רמת בן גוריון,0.01
15.0,1960.0,2019-10-30,הפרחים 1,11192-274-9,דירה בבית קומות,3,שניה,53,"176,000 ₪",רמת בן גוריון,0.01
22.0,1970.0,2019-10-25,אורן 23,11192-345-28,דירה בבית קומות,3,שישית,88.86,"1,265,000 ₪",רמת בן גוריון,0.01
13.0,1960.0,2019-09-22,אורן 35,11192-319-20,דירה בבית קומות,3,רביעית,62.5,"940,000 ₪",רמת בן גוריון,0.01
13.0,1960.0,2017-10-19,אורן 35,11192-319-20,דירה בבית קומות,3,רביעית,62.5,"600,000 ₪",רמת בן גוריון,0.01
12.0,1970.0,2019-09-20,אורן 31,11192-317-67,דירה בבית קומות,3,אחת עשרה,56.75,"1,150,000 ₪",רמת בן גוריון,0.01
7.0,1970.0,2019-09-19,הנטקה 43,11192-269-7,דירה בבית קומות,3,שניה,83.28,"1,100,000 ₪",רמת בן גוריון,0.01
1.0,1989.0,2019-08-18,אורן 42,11192-106-5,דירה בבית קומות,5,שניה + שלישית,123.88,"1,250,000 ₪",רמת בן גוריון,0.01
1.0,1989.0,2012-06-14,אורן 42,11192-106-5,דירה בבית קומות,5,שניה + שלישית,123.88,"1,200,000 ₪",רמת בן גוריון,0.03
16.0,1970.0,2019-07-25,אורן 29,11192-316-82,דירה בבית קומות,3,שש עשרה,56.75,"1,080,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2019-07-23,הפרחים 9,11192-271-71,דירה בבית קומות,4,שתים עשרה,81.75,"1,225,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,2019-07-12,אורן 32,11192-262-17,דירה בבית קומות,2,עמודים,25.55,"620,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,2014-01-13,אורן 32,11192-262-17,דירה בבית קומות,2,עמודים,25.55,"530,000 ₪",רמת בן גוריון,0.03
4.0,1960.0,2011-10-24,אורן 32,11192-262-17,דירה בבית קומות,2,עמודים,25.55,"450,000 ₪",רמת בן גוריון,0.03
12.0,1970.0,2019-07-07,אורן 31,11192-317-18,דירה בבית קומות,3,שלישית,62.25,"860,000 ₪",רמת בן גוריון,0.01
5.0,1970.0,2019-07-02,אורן 9,11192-243-2,דירה בבית קומות,3,קרקע,70,"1,100,000 ₪",רמת בן גוריון,0.01
22.0,1970.0,2019-06-20,אורן 23,11192-345-73,דירה בבית קומות,3,שלוש עשרה,88.76,"1,180,000 ₪",רמת בן גוריון,0.01
13.0,1970.0,2019-06-18,הפרחים 11,11192-270-60,דירה בבית קומות,3,אחת עשרה,57.5,"910,000 ₪",רמת בן גוריון,0.01
