קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
16,1970,16/02/2012,אורן 29,11192-316-24,דירה בבית קומות,3,שישית,59.75,"740,000 ₪"
16,1970,21/10/2009,אורן 29,11192-316-24,דירה בבית קומות,3,שישית,59.75,"610,000 ₪"
22,1970,17/01/2012,אורן 23,11192-345-75,דירה בבית קומות,3,שלוש עשרה,88.76,"1,100,000 ₪"
22,1970,12/06/2011,אורן 23,11192-345-75,דירה בבית קומות,3,שלוש עשרה,88.76,"850,000 ₪"
2,1993,10/01/2012,הצוללת דקר 5,11192-176-8,דירה בבית קומות,5,שניה ושלישית,136.75,"1,600,000 ₪"
22,1970,14/12/2011,אורן 23,11192-345-93,דירה בבית קומות,3,שש עשרה,91.86,"900,000 ₪"
15,1960,08/12/2011,הפרחים 1,11192-274-15,דירה בבית קומות,3,שלישית,53,"650,000 ₪"
8,1990,10/11/2011,אורן 48,11192-109-9,דירה בבית קומות,5,חמישית ושישית,132.5,"1,275,000 ₪"
15,1960,31/10/2011,הפרחים 1,11192-274-60,דירה בבית קומות,3,שתים עשרה,52,"660,000 ₪"
2,1990,22/09/2011,"זלמן שז""ר 11",11192-148-3,דירה בבית קומות,7,שניה ושלישית,207.13,"1,750,000 ₪"
15,1960,18/09/2011,הפרחים 1,11192-274-56,דירה בבית קומות,3,עשירית,54,"655,000 ₪"
15,1960,07/09/2011,הפרחים 1,11192-274-64,דירה בבית קומות,3,אחת עשרה,51,"752,000 ₪"
14,1960,24/07/2011,הפרחים 5,11192-288-39,דירה בבית קומות,3,שביעית,53,"690,000 ₪"
14,1960,02/04/2000,הפרחים 5,11192-288-39,דירה בבית קומות,3,שביעית,53,"543,000 ₪"
4,1960,17/07/2011,שקמה 6,11192-250-6,דירה בבית קומות,3,שניה,63,"685,000 ₪"
5,1999,15/07/2011,הצוללת דקר 12,11192-370-15,דירה בבית קומות,4,שלישית,90.5,"1,230,000 ₪"
22,1970,14/07/2011,אורן 23,11192-345-65,דירה בבית קומות,4,שתים עשרה,106.92,"1,195,000 ₪"
12,1970,05/06/2011,אורן 31,11192-317-66,דירה בבית קומות,3,אחת עשרה,62.25,"660,000 ₪"
22,1970,18/05/2011,אורן 23,11192-345-22,דירה בבית קומות,3,חמישית,88.86,"835,000 ₪"
4,1965,02/02/2011,אורן 38,11192-260-10,דירה בבית קומות,3,שלישית,74.25,"755,000 ₪"
5,1960,25/01/2011,אורן 21,11192-237-13,דירה בבית קומות,3,שניה,80.47,"835,000 ₪"
13,1960,24/01/2011,אורן 35,11192-319-41,דירה בבית קומות,3,שישית,58.95,"720,000 ₪"
13,1960,28/10/2002,אורן 35,11192-319-41,דירה בבית קומות,3,שישית,58.95,"428,000 ₪"
10,1980,23/01/2011,מרטין בובר 22,11192-195-6,דירת גג,4,רביעית חמישית,86.1,"1,250,000 ₪"
7,1970,23/01/2011,הנטקה 43,11192-269-12,דירה בבית קומות,3,שלישית,83.28,"1,050,000 ₪"
7,1970,19/01/2011,הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,"921,800 ₪"
7,1970,מחיר,הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,1
7,1970,16%,הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,"147,488 ₪"
7,1970,2,הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,16%
7,1970,"147,488 ₪",הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,3
7,1970,16%,הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,"147,488 ₪"
7,1970,4,הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,50%
7,1970,"460,900 ₪",הנטקה 41,11192-268-15,דירה בבית קומות,3,רביעית,83.28,
6,1970,19/01/2011,הנטקה 39,11192-267-6,דירה בבית קומות,4,שניה,102.33,"1,270,000 ₪"
6,1970,18/02/2010,הנטקה 39,11192-267-6,דירה בבית קומות,4,שניה,102.33,"800,000 ₪"
6,1970,22/09/2009,הנטקה 39,11192-267-6,דירה בבית קומות,4,שניה,102.33,"350,000 ₪"
0,1983,13/01/2011,"זלמן שז""ר 27",11192-156-4,דירה בבית קומות,5,מרתף קרקע ראשונה,129.94,"1,420,000 ₪"
4,1960,11/01/2011,אורן 20,11192-265-17,דירה בבית קומות,3,שלישית,58,"745,000 ₪"
4,1960,25/06/2009,אורן 20,11192-265-17,דירה בבית קומות,3,שלישית,58,"560,000 ₪"
4,1960,06/08/2000,אורן 20,11192-265-17,דירה בבית קומות,3,שלישית,58,"579,000 ₪"
3,1981,05/01/2011,"זלמן שז""ר 6",11192-166-6,דירה בבית קומות,4,שניה,97.4,"1,185,000 ₪"
15,1960,03/01/2011,הפרחים 1,11192-274-70,דירה בבית קומות,3,שתים עשרה,51,"640,000 ₪"
22,1970,27/12/2010,אורן 23,11192-345-118,דירה בבית קומות,3,עשרים ואחת,88.86,"625,000 ₪"
22,1970,24/01/2006,אורן 23,11192-345-118,דירה בבית קומות,3,עשרים ואחת,88.86,"1,106,000 ₪"
12,1970,29/11/2010,אורן 31,11192-317-6,דירה בבית קומות,3,קרקע 1,62.25,"636,300 ₪"
4,1960,25/11/2010,שקמה 12,11192-251-11,דירה בבית קומות,3,שלישית,63,"650,000 ₪"
4,1960,28/03/1999,שקמה 12,11192-251-11,דירה בבית קומות,3,שלישית,63,"527,000 ₪"
4,1960,14/11/2010,אורן 32,11192-262-5,דירה בבית קומות,4,שניה,88.4,"850,000 ₪"
13,1970,11/11/2010,הפרחים 9,11192-271-52,דירה בבית קומות,3,תשיעית,61.3,"550,000 ₪"
7,1970,04/11/2010,הנטקה 41,11192-268-20,דירה בבית קומות,3,חמישית,83.28,"1,000,000 ₪"
4,1960,30/10/2010,אורן 24,11192-264-10,דירה בבית קומות,3,שלישית,74.25,"790,000 ₪"
4,1960,18/08/2005,אורן 24,11192-264-10,דירה בבית קומות,3,שלישית,74.25,"568,000 ₪"
4,1960,20/04/1999,אורן 24,11192-264-10,דירה בבית קומות,3,שלישית,74.25,"537,000 ₪"
12,1970,25/10/2010,אורן 31,11192-317-29,דירה בבית קומות,3,חמישית,56.75,"760,000 ₪"
12,1970,08/02/2007,אורן 31,11192-317-29,דירה בבית קומות,3,חמישית,56.75,"431,000 ₪"
2,1998,19/10/2010,"זלמן שז""ר 7",11192-146-4,דירה בבית קומות,3,שניה,65,"1,650,000 ₪"
4,1960,08/10/2010,שקמה 12,11192-251-6,דירה בבית קומות,3,שניה,63,"660,000 ₪"
16,1970,30/08/2010,אורן 29,11192-316-73,דירה בבית קומות,2.5,ארבע עשרה,59.75,"655,000 ₪"
13,1970,29/08/2010,הפרחים 9,11192-271-39,דירה בבית קומות,3,שביעית,59.23,"690,000 ₪"
2,1981,23/08/2010,"זלמן שז""ר 4",11192-167-5,דירה בבית קומות,5,שניה שלישית רביעית,207.85,"1,803,000 ₪"
2,1981,13/07/2001,"זלמן שז""ר 4",11192-167-5,דירה בבית קומות,5,שניה שלישית רביעית,207.85,"1,177,000 ₪"
5,1960,21/08/2010,אורן 7,11192-244-11,דירה בבית קומות,4,מסד,77,"850,000 ₪"
15,1960,26/07/2010,הפרחים 1,11192-274-47,דירה בבית קומות,3,עשירית,54,"590,000 ₪"
3,1998,18/07/2010,מרטין בובר 9,11192-180-2,דירה בבית קומות,4,ראשונה,97,"1,437,000 ₪"
5,1960,15/07/2010,אורן 7,11192-244-23,דירה בבית קומות,4,רביעית,77,"750,000 ₪"
5,1960,13/02/2000,אורן 7,11192-244-23,דירה בבית קומות,4,רביעית,77,"609,000 ₪"
4,1980,09/07/2010,הצוללת דקר 19,11192-169-9,דירה בבית קומות,4,שניה שלישית רביעית,88.5,"1,000,000 ₪"
4,1990,29/06/2010,הצוללת דקר 4,11192-367-17,דירה בבית קומות,6,שלישית רביעית חמישית,135.87,"1,500,000 ₪"
13,1970,14/06/2010,הפרחים 9,11192-271-18,דירה בבית קומות,3,שלישית,57.5,"660,000 ₪"
13,1970,26/01/2006,הפרחים 9,11192-271-18,דירה בבית קומות,3,שלישית,57.5,"483,000 ₪"
4,1970,07/06/2010,צבר 3,11192-248-1,דירה בבית קומות,3.5,ראשונה,77,"660,000 ₪"
4,1960,02/06/2010,אורן 26,11192-263-10,דירה בבית קומות,3,שלישית,74.25,"620,000 ₪"
4,1960,03/11/1998,אורן 26,11192-263-10,דירה בבית קומות,3,שלישית,74.25,"671,000 ₪"
14,1960,02/06/2010,הפרחים 5,11192-288-57,דירה בבית קומות,3,עשירית,53,"690,000 ₪"
14,1960,13/06/2002,הפרחים 5,11192-288-57,דירה בבית קומות,3,עשירית,53,"560,000 ₪"
5,1960,31/05/2010,אורן 7,11192-244-17,דירה בבית קומות,4,ראשונה (כניסה),77,"805,000 ₪"
22,1970,24/05/2010,אורן 23,11192-345-126,דירה בבית קומות,3,עשרים ושתים,88.86,"830,000 ₪"
13,1970,11/05/2010,הפרחים 11,11192-270-49,דירה בבית קומות,3,תשיעית,65.31,"620,000 ₪"
4,1960,25/04/2010,צבר 5,11192-247-11,דירה בבית קומות,3.5,שלישית,63,"615,000 ₪"
4,1960,31/03/2000,צבר 5,11192-247-11,דירה בבית קומות,3.5,שלישית,63,"471,000 ₪"
7,1970,16/04/2010,הנטקה 43,11192-269-11,דירה בבית קומות,3,שלישית,83.28,"909,000 ₪"
3,1985,28/03/2010,מרטין בובר 12,11192-191-1,דירה בבית קומות,5,"קרקע,ראשונה,שניה",170.82,"1,550,000 ₪"
4,1960,25/03/2010,אורן 14,11192-266-2,דירה בבית קומות,3.5,ראשונה,58,"715,000 ₪"
4,1960,14/12/2004,אורן 14,11192-266-2,דירה בבית קומות,3.5,ראשונה,58,"484,000 ₪"
14,1970,23/03/2010,הפרחים 3,11192-273-68,דירה בבית קומות,3,שתים עשרה,54,"610,000 ₪"
4,1960,08/03/2010,אורן 20,11192-265-24,דירה בבית קומות,3,רביעית,58,"599,000 ₪"
4,1960,04/03/1998,אורן 20,11192-265-24,דירה בבית קומות,3,רביעית,58,"525,000 ₪"
4,1960,21/02/2010,אורן 20,11192-265-4,דירה בבית קומות,3,ראשונה,58,"660,000 ₪"
4,1960,30/12/2004,אורן 20,11192-265-4,דירה בבית קומות,3,ראשונה,58,"495,000 ₪"
14,1960,16/02/2010,הפרחים 5,11192-288-34,דירה בבית קומות,3,שישית,51,"292,000 ₪"
4,1960,08/02/2010,צבר 9,11192-246-16,דירה בבית קומות,3.5,רביעית,77,"600,000 ₪"
