קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
8,1978,11/08/2024,סעדיה פז 45,10744-48-19,דירה בבית קומות,4,רביעית,80.3,"1,355,000 ₪"
15,1998,24/07/2024,שמואל שלוסברג 1,10744-58-122,דירה בבית קומות,5,שלישית,96.7,"1,692,000 ₪"
15,1998,מחיר,שמואל שלוסברג 1,10744-58-122,דירה בבית קומות,5,שלישית,96.7,1
15,1998,16%,שמואל שלוסברג 1,10744-58-122,דירה בבית קומות,5,שלישית,96.7,"270,720 ₪"
15,1998,2,שמואל שלוסברג 1,10744-58-122,דירה בבית קומות,5,שלישית,96.7,16%
15,1998,"270,720 ₪",שמואל שלוסברג 1,10744-58-122,דירה בבית קומות,5,שלישית,96.7,3
15,1998,66%,שמואל שלוסברג 1,10744-58-122,דירה בבית קומות,5,שלישית,96.7,"1,116,720 ₪"
8,1978,18/07/2024,סעדיה פז 47,10744-48-35,דירה בבית קומות,4,רביעית,80.3,"1,200,000 ₪"
15,1998,27/06/2024,שמואל שלוסברג 1,10744-58-148,דירה בבית קומות,5,שביעית,96.7,"1,750,000 ₪"
14,1970,27/06/2024,"אצ""ל 13",10749-56-38,דירה בבית קומות,4,עשירית,74.2,"1,700,000 ₪"
14,1970,19/07/2020,"אצ""ל 13",10749-56-38,דירה בבית קומות,4,עשירית,74.2,"1,290,000 ₪"
4,1970,23/06/2024,סעדיה פז 10,10744-51-32,דירה בבית קומות,2,חמישית,47.2,"1,100,000 ₪"
4,1970,23/03/2021,סעדיה פז 10,10744-51-32,דירה בבית קומות,2,חמישית,47.2,"660,000 ₪"
4,1970,18/06/2024,כהן ברוך 5,10749-60-23,דירה בבית קומות,3,שניה,60.9,"1,510,000 ₪"
4,1960,13/06/2024,הלבנה 11,10749-92-46,דירה בבית קומות,4,שלישית,84.7,"600,000 ₪"
4,1970,23/05/2024,ברוך כהן 8,10749-61-44,דירה בבית קומות,3,שלישית,81,"1,442,000 ₪"
4,1970,24/03/2013,ברוך כהן 8,10749-61-44,דירה בבית קומות,3,שלישית,81,"640,000 ₪"
15,1998,09/05/2024,שמואל שלוסברג 1,10744-58-189,דירה בבית קומות,4,ארבע-עשרה,88.8,"725,000 ₪"
15,1998,31/07/2013,שמואל שלוסברג 1,10744-58-189,דירה בבית קומות,4,ארבע-עשרה,88.8,"1,154,000 ₪"
4,1970,09/05/2024,כהן ברוך 5,10749-60-17,דירה בבית קומות,3,ראשונה,60.9,"1,170,000 ₪"
4,1970,15/05/2002,כהן ברוך 5,10749-60-17,דירה בבית קומות,3,ראשונה,60.9,"440,000 ₪"
4,1970,16/04/2024,הרותם 25,10744-99-43,דירה בבית קומות,2,ראשונה,45.4,"1,490,000 ₪"
4,1970,12/10/2020,הרותם 25,10744-99-43,דירה בבית קומות,2,ראשונה,45.4,"1,095,000 ₪"
4,1970,17/08/2015,הרותם 25,10744-99-43,דירה בבית קומות,2,ראשונה,45.4,"660,000 ₪"
4,1970,15/02/2015,הרותם 25,10744-99-43,דירה בבית קומות,2,ראשונה,45.4,"620,000 ₪"
4,1970,11/04/2024,כהן ברוך 7,10749-60-7,דירה בבית קומות,3,שניה,62.5,"1,350,000 ₪"
4,1970,24/08/2021,כהן ברוך 7,10749-60-7,דירה בבית קומות,3,שניה,62.5,"1,000,000 ₪"
4,1970,25/10/2012,כהן ברוך 7,10749-60-7,דירה בבית קומות,3,שניה,62.5,"620,000 ₪"
5,1970,10/04/2024,סעדיה פז 39,10744-48-66,דירה בבית קומות,3,שניה,64.5,"1,240,000 ₪"
5,1970,27/11/2014,סעדיה פז 39,10744-48-66,דירה בבית קומות,3,שניה,64.5,"602,000 ₪"
8,1970,10/04/2024,סעדיה פז 34,10744-44-4,דירה בבית קומות,2,ראשונה,47.2,"950,000 ₪"
8,1970,01/03/2011,סעדיה פז 34,10744-44-4,דירה בבית קומות,2,ראשונה,47.2,"400,000 ₪"
15,1998,21/03/2024,שמואל שלוסברג 1,10744-58-142,דירה בבית קומות,5,שישית,96.7,"1,800,000 ₪"
15,1998,10/06/2007,שמואל שלוסברג 1,10744-58-142,דירה בבית קומות,5,שישית,96.7,"670,000 ₪"
4,1970,11/03/2024,הרותם 19,10744-46-24,דירה בבית קומות,3,שניה,62.5,"1,420,000 ₪"
9,1990,14/02/2024,החיננית 2,10744-58-87,דירה בבית קומות,3,שלישית,62.3,"1,300,000 ₪"
8,1970,25/01/2024,סעדיה פז 34,10744-44-2,דירה בבית קומות,3,ראשונה,62.3,"1,100,000 ₪"
4,1970,16/01/2024,ברוך כהן 3,10749-53-20,דירה בבית קומות,3,ראשונה,62.5,"600,000 ₪"
4,1970,30/08/2006,ברוך כהן 3,10749-53-20,דירה בבית קומות,3,ראשונה,62.5,"241,000 ₪"
4,1970,09/01/2024,הרותם 7,10744-54-55,דירה בבית קומות,2,שלישית,44.4,"1,200,000 ₪"
4,1970,04/01/2024,הרותם 53,10749-57-1,דירה בבית קומות,2,קרקע,44.4,"700,000 ₪"
9,1990,28/12/2023,החיננית 4,10744-58-51,דירה בבית קומות,3,שלישית,62.3,"1,160,000 ₪"
8,1970,26/12/2023,הרב רפאל אנקואה 22,10744-52-1,דירה בבית קומות,3,ראשונה,62.3,"700,000 ₪"
4,1970,20/12/2023,סעדיה פז 24,10744-43-43,דירה בבית קומות,3,ראשונה,64.5,"1,210,000 ₪"
4,1970,22/09/2016,סעדיה פז 24,10744-43-43,דירה בבית קומות,3,ראשונה,64.5,"714,000 ₪"
4,1970,19/12/2023,הרותם 21,10744-99-63,דירה בבית קומות,2.5,שלישית,45.4,"500,000 ₪"
4,1970,06/09/2022,הרותם 21,10744-99-63,דירה בבית קומות,2.5,שלישית,45.4,"413,000 ₪"
4,1970,12/02/2013,הרותם 21,10744-99-63,דירה בבית קומות,2.5,שלישית,45.4,"520,000 ₪"
4,1970,12/02/2013,הרותם 21,10744-99-63,דירה בבית קומות,2.5,שלישית,45.4,"390,000 ₪"
4,1970,19/11/2023,הרב רפאל אנקואה 44,10749-53-34,דירה בבית קומות,3,ראשונה,62.5,"250,000 ₪"
4,1970,22/10/2023,הרותם 43,10749-92-2,דירה בבית קומות,4,ראשונה,81.6,"1,440,000 ₪"
4,1970,21/09/2023,"אצ""ל 17",10749-54-7,דירה בבית קומות,3,שניה,60.9,"1,200,000 ₪"
4,1970,10/09/2023,סעדיה פז 11,10744-104-35,דירה בבית קומות,2.5,ראשונה,44.4,"1,380,000 ₪"
4,1970,11/12/2019,סעדיה פז 11,10744-104-35,דירה בבית קומות,2.5,ראשונה,44.4,"600,000 ₪"
8,1970,07/09/2023,סעדיה פז 32,10744-43-32,דירה בבית קומות,3,ראשונה,47.2,"1,040,000 ₪"
8,1970,02/06/2022,סעדיה פז 32,10744-43-32,דירה בבית קומות,3,ראשונה,47.2,"870,000 ₪"
8,1970,11/11/2021,סעדיה פז 32,10744-43-32,דירה בבית קומות,3,ראשונה,47.2,"187,000 ₪"
14,1980,07/09/2023,הרותם 5,10744-55-22,דירה בבית קומות,4,שישית,79.7,"550,000 ₪"
4,1970,13/08/2023,סעדיה פז 26,10744-43-49,דירה בבית קומות,3,ראשונה,65.4,"336,000 ₪"
4,1970,03/08/2023,ברוך כהן 8,10749-61-24,דירה בבית קומות,2,קרקע,44.4,"278,000 ₪"
8,1980,25/07/2023,הרב אנקואה רפאל 28,10744-50-44,דירה בבית קומות,3,שישית,63.9,"1,180,000 ₪"
8,1980,25/11/2018,הרב אנקואה רפאל 28,10744-50-44,דירה בבית קומות,3,שישית,63.9,"927,000 ₪"
4,1970,21/07/2023,הרותם 7,10744-54-57,דירה בבית קומות,2,קרקע,44.4,"1,440,000 ₪"
4,1970,03/06/2021,הרותם 7,10744-54-57,דירה בבית קומות,2,קרקע,44.4,"1,100,000 ₪"
4,1970,19/07/2023,הרותם 25,10744-99-41,דירה בבית קומות,2,קרקע,44.4,"1,420,000 ₪"
4,1970,28/10/2021,הרותם 25,10744-99-41,דירה בבית קומות,2,קרקע,44.4,"1,150,000 ₪"
4,1970,10/07/2023,הרותם 15,10744-46-95,דירה בבית קומות,3,רביעית,60.9,"1,450,000 ₪"
